EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
NOA,63,North Africa,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.645166466218652
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0147184187471084
AZ,69,Azerbaijan,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00469981821351689
RS,72,Serbia,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.15961474943161
ME,73,Montenegro,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.33390198522876
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000101532340051093
CAS,80,Caspian Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00337711064040554
TJ,81,Tajikistan,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00400037575749411
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,8.35232709082495
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,1.10036619798583
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,3.52712770008873
AL,1,Albania,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
AT,2,Austria,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0202378703192354
BE,3,Belgium,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00379466147976792
BG,4,Bulgaria,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00658535659685731
DK,6,Denmark,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0036594719381246
FI,7,Finland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0424450803176224
FR,8,France,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0277592347422838
