EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
AL,1,Albania,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0
AT,2,Austria,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.210720433907032
BE,3,Belgium,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0879011193823899
BG,4,Bulgaria,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,3.47126757027375
DK,6,Denmark,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.110286441183179
FI,7,Finland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.481496908105727
FR,8,France,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.779625839846073
GR,11,Greece,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,1.13561046218872
HU,12,Hungary,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.663122128656629
IS,13,Iceland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,1.1071159504354e-05
IE,14,Ireland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.18737657412001
LU,16,Luxembourg,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.00399333218912989
NL,17,Netherlands,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.109492207943287
NO,18,Norway,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0804980957992752
PL,19,Poland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,14.0544513410074
PT,20,Portugal,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0489968731464448
RO,21,Romania,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,2.47770608731121
ES,22,Spain,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.106897271458358
SE,23,Sweden,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.181417404112857
