Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,layer_name,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec01_annual,sec01,A_PublicPower,339.230597978879,339.230597978879,339.230597978879,339.230597978879,1
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec02_annual,sec02,B_Industry,2431.63278260872,2431.63278260863,2431.63278260872,2431.63278260872,1
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec03_annual,sec03,C_OtherStationaryComb,615.277131238927,615.277131238901,615.277131238927,615.277131238927,1
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec04_annual,sec04,D_Fugitive,0,0,0,0,
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec05_annual,sec05,E_Solvents,1336.41540092763,1336.41540092761,1336.41540092763,1336.41540092763,1
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec06_annual,sec06,F_RoadTransport,4586.34658006763,4586.34658006744,4586.34658006763,4586.34658006763,1
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec07_annual,sec07,G_Shipping,0,0,0,0,
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec08_annual,sec08,H_Aviation,0,0,0,0,
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec09_annual,sec09,I_Offroad,36.9105845511722,36.9105845511754,36.9105845511722,36.9105845511722,1
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec10_annual,sec10,J_Waste,6861.14391196721,6861.14391196717,6861.14391196721,6861.14391196721,1
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec11_annual,sec11,K_AgriLivestock,226558.664433982,226558.664433992,226558.664433982,226558.664433982,1
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec12_annual,sec12,L_AgriOther,0,0,0,0,
GB,27,nh3,NetCDF_input,2022,2024,allISO,annual,uk_nh3_sec13_annual,sec13,M_Other,25287.7386071376,25287.7386071365,25287.7386071376,25287.7386071376,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec01_annual,sec01,A_PublicPower,0,0,0,0,
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec02_annual,sec02,B_Industry,107.977622712616,107.977622712617,107.977622712616,107.977622712616,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec03_annual,sec03,C_OtherStationaryComb,90.3821889427585,90.3821889427562,90.3821889427585,90.3821889427585,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec04_annual,sec04,D_Fugitive,0,0,0,0,
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec05_annual,sec05,E_Solvents,11.9599888744999,11.9599888745,11.9599888744999,11.9599888744999,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec06_annual,sec06,F_RoadTransport,508.339216519308,508.339216519311,508.339216519308,508.339216519308,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec07_annual,sec07,G_Shipping,0,0,0,0,
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec08_annual,sec08,H_Aviation,0,0,0,0,
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec09_annual,sec09,I_Offroad,2.05411908210232,2.05411908210233,2.05411908210232,2.05411908210232,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec10_annual,sec10,J_Waste,117.960142305146,117.960142305152,117.960142305146,117.960142305146,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec11_annual,sec11,K_AgriLivestock,61379.7582939705,61379.7582939711,61379.7582939705,61379.7582939705,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec12_annual,sec12,L_AgriOther,66433.9977396052,66433.9977396051,66433.9977396052,66433.9977396052,1
IE,14,nh3,NetCDF_input,2022,2024,allISO,annual,ie_nh3_sec13_annual,sec13,M_Other,0,0,0,0,
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec01_annual,sec01,A_PublicPower,0,0,0,0,
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec02_annual,sec02,B_Industry,0.00375436600122399,0.00375436600122399,0.00375436600122399,0.00375436600122399,1
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec03_annual,sec03,C_OtherStationaryComb,0.00755011007795112,0.00755011007795112,0.00755011007795112,0.00755011007795112,1
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec04_annual,sec04,D_Fugitive,0,0,0,0,
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec05_annual,sec05,E_Solvents,0.173842811277743,0.173842811277743,0.173842811277743,0.173842811277743,1
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec06_annual,sec06,F_RoadTransport,0.00164792625931567,0.00164792625931567,0.00164792625931567,0.00164792625931567,1
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec07_annual,sec07,G_Shipping,0,0,0,0,
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec08_annual,sec08,H_Aviation,0,0,0,0,
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec09_annual,sec09,I_Offroad,5.49644612189375,5.49644612189374,5.49644612189375,5.49644612189375,1
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec10_annual,sec10,J_Waste,0.307665336306162,0.307665336306162,0.307665336306162,0.307665336306162,1
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec11_annual,sec11,K_AgriLivestock,4.82311140863501,4.82311140863501,4.82311140863501,4.82311140863501,1
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec12_annual,sec12,L_AgriOther,0,0,0,0,
SEA,171,nh3,NetCDF_input,2022,2024,allISO,annual,sea_nh3_sec13_annual,sec13,M_Other,298.60867071792,298.60867071792,298.60867071792,298.60867071792,1
