Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,tsum,tot_tres_ratio
uk,terrestrial,nox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,82544.7197837052,82544.7197837052,82544.7197837052,1
uk,sea,nox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,3.69536738336016e-05,3.69536738336016e-05,3.69536738336016e-05,1
uk,outwith,nox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,39624.907602326,39624.907602326,39624.907602326,1
ie,terrestrial,nox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,7476.3021168652,7476.3021168652,7476.3021168652,1
ie,sea,nox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ie,outwith,nox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
uk,terrestrial,nox,masked,2022,2024,sec02,B_Industry,3,Industry,annual,85086.5427275828,85086.5427275828,85086.5427275828,1
uk,sea,nox,masked,2022,2024,sec02,B_Industry,3,Industry,annual,0.648700692293416,0.648700692293416,0.648700692293416,1
uk,outwith,nox,masked,2022,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
ie,terrestrial,nox,masked,2022,2024,sec02,B_Industry,3,Industry,annual,8598.73896445587,8598.73896445587,8598.73896445587,1
ie,sea,nox,masked,2022,2024,sec02,B_Industry,3,Industry,annual,0.0829436519803892,0.0829436519803892,0.0829436519803892,1
ie,outwith,nox,masked,2022,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
uk,terrestrial,nox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,70340.6348600898,70340.6348600898,70340.6348600898,1
uk,sea,nox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.499725910741113,0.499725910741113,0.499725910741113,1
uk,outwith,nox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
ie,terrestrial,nox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,7022.29973006565,7022.29973006565,7022.29973006565,1
ie,sea,nox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.603365868266367,0.603365868266367,0.603365868266367,1
ie,outwith,nox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,terrestrial,nox,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,sea,nox,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,outwith,nox,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,11.3,11.3,11.3,1
ie,terrestrial,nox,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,sea,nox,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,outwith,nox,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,terrestrial,nox,masked,2022,2024,sec05,E_Solvents,6,Solvents,annual,58.1412098723388,58.1412098723388,58.1412098723388,1
uk,sea,nox,masked,2022,2024,sec05,E_Solvents,6,Solvents,annual,3.59592233427791e-05,3.59592233427791e-05,3.59592233427791e-05,1
uk,outwith,nox,masked,2022,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
ie,terrestrial,nox,masked,2022,2024,sec05,E_Solvents,6,Solvents,annual,5.19872778781985,5.19872778781985,5.19872778781985,1
ie,sea,nox,masked,2022,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
ie,outwith,nox,masked,2022,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
uk,terrestrial,nox,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,195427.87170943,195427.87170943,195427.87170943,1
uk,sea,nox,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0.0832389624598369,0.0832389624598369,0.0832389624598369,1
uk,outwith,nox,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
ie,terrestrial,nox,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,25166.6168518617,25166.6168518617,25166.6168518617,1
ie,sea,nox,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
ie,outwith,nox,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
