projectName,scenarioName,poll,iso,diff_or_pt,sector,fname,loc
SCOTDOM,SGS1,co,GB,diff,C_OtherStationaryComb,SGS1refrun_co_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS1,nox,GB,diff,C_OtherStationaryComb,SGS1refrun_nox_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS1,pm25,GB,diff,C_OtherStationaryComb,SGS1refrun_pm25_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS1,pmco,GB,diff,C_OtherStationaryComb,SGS1refrun_pmco_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS1,sox,GB,diff,C_OtherStationaryComb,SGS1refrun_sox_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS2,co,GB,diff,C_OtherStationaryComb,SGS2norUK_co_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS2,nox,GB,diff,C_OtherStationaryComb,SGS2norUK_nox_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS2,pm25,GB,diff,C_OtherStationaryComb,SGS2norUK_pm25_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS2,pmco,GB,diff,C_OtherStationaryComb,SGS2norUK_pmco_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS2,sox,GB,diff,C_OtherStationaryComb,SGS2norUK_sox_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
SCOTDOM,SGS3,co,GB,diff,C_OtherStationaryComb,SGS3nowo_co_DIFFUSE_inv2023_emis_2021_GNFR_C_OtherStationaryComb_t_LL.tif,/gws/nopw/j04/ceh_generic/samtom/EMEP_inputs/data/alt_emis/SCOTDOM/input
