iso_char,iso_code,Pollutant,Data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncoutput,t1,tsum,tot_tres_ratio
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec04,D_Fugitive,47.9379219210568,47.9379219210568,47.9379219210568,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec05,E_Solvents,399.958412606994,399.958412606994,399.958412606994,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec06,F_RoadTransport,2426.03912358047,2426.03912358047,2426.03912358047,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec07,G_Shipping,52.3972699344158,52.3972699344158,52.3972699344158,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec08,H_Aviation,99.5478142769425,99.5478142769425,99.5478142769425,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec09,I_Offroad,651.922096925435,651.922096925435,651.922096925435,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec10,J_Waste,364.709615768801,364.709615768801,364.709615768801,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec11,K_AgriLivestock,113.002378588026,113.002378588026,113.002378588026,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec12,L_AgriOther,134.716498816979,134.716498816979,134.716498816979,1
AT,2,pm25,NetCDF_output,2022,2024,allISO,annual,sec13,M_Other,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec01,A_PublicPower,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec02,B_Industry,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec03,C_OtherStationaryComb,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec04,D_Fugitive,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec05,E_Solvents,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec06,F_RoadTransport,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec07,G_Shipping,9713.74905878236,9713.74905878236,9713.74905878236,1
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec08,H_Aviation,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec09,I_Offroad,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec10,J_Waste,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec11,K_AgriLivestock,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec12,L_AgriOther,0,0,0,
ATL,32,pm25,NetCDF_output,2022,2024,allISO,annual,sec13,M_Other,0,0,0,
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec01,A_PublicPower,344.008075185157,344.008075185157,344.008075185157,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec02,B_Industry,3928.2887878418,3928.2887878418,3928.2887878418,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec03,C_OtherStationaryComb,1568.00933847576,1568.00933847576,1568.00933847576,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec04,D_Fugitive,1063.87590212635,1063.87590212635,1063.87590212635,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec05,E_Solvents,1407.144276908,1407.144276908,1407.144276908,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec06,F_RoadTransport,5658.40683911052,5658.40683911052,5658.40683911052,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec07,G_Shipping,148.141883148797,148.141883148797,148.141883148797,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec08,H_Aviation,22.6865897217675,22.6865897217675,22.6865897217675,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec09,I_Offroad,90.7125803417598,90.7125803417598,90.7125803417598,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec10,J_Waste,1604.61400507292,1604.61400507292,1604.61400507292,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec11,K_AgriLivestock,533.888000949571,533.888000949571,533.888000949571,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec12,L_AgriOther,2796.73599586219,2796.73599586219,2796.73599586219,1
AZ,69,pm25,NetCDF_output,2022,2024,allISO,annual,sec13,M_Other,0,0,0,
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec01,A_PublicPower,4185.57055282593,4185.57055282593,4185.57055282593,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec02,B_Industry,2765.58824351989,2765.58824351989,2765.58824351989,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec03,C_OtherStationaryComb,26709.4329546839,26709.4329546839,26709.4329546839,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec04,D_Fugitive,166.565722107887,166.565722107887,166.565722107887,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec05,E_Solvents,401.086184867454,401.086184867454,401.086184867454,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec06,F_RoadTransport,702.829440043621,702.829440043621,702.829440043621,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec07,G_Shipping,0,0,0,
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec08,H_Aviation,0.167989866968101,0.167989866968101,0.167989866968101,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec09,I_Offroad,43.8439998550525,43.8439998550525,43.8439998550525,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec10,J_Waste,2230.70600193727,2230.70600193727,2230.70600193727,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec11,K_AgriLivestock,410.563999861479,410.563999861479,410.563999861479,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec12,L_AgriOther,1485.59199935012,1485.59199935012,1485.59199935012,1
BA,50,pm25,NetCDF_output,2022,2024,allISO,annual,sec13,M_Other,0,0,0,
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec01,A_PublicPower,0,0,0,
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec02,B_Industry,0,0,0,
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec03,C_OtherStationaryComb,0,0,0,
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec04,D_Fugitive,0,0,0,
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec05,E_Solvents,0,0,0,
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec06,F_RoadTransport,0,0,0,
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec07,G_Shipping,3368.33956492071,3368.33956492071,3368.33956492071,1
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec08,H_Aviation,0,0,0,
BAS,30,pm25,NetCDF_output,2022,2024,allISO,annual,sec09,I_Offroad,0,0,0,
