Pollutant,Area,Year,Month,GNFR,Sector,layer,emis_kt
pmco,UK,2021,1,A_PublicPower,PublicPower,Emis_UK_PublicPower_1,0.049526898933259
pmco,UK,2021,2,A_PublicPower,PublicPower,Emis_UK_PublicPower_2,0.046351569034848
pmco,UK,2021,3,A_PublicPower,PublicPower,Emis_UK_PublicPower_3,0.0511351829324533
pmco,UK,2021,4,A_PublicPower,PublicPower,Emis_UK_PublicPower_4,0.045897950459788
pmco,UK,2021,5,A_PublicPower,PublicPower,Emis_UK_PublicPower_5,0.0343512962587513
pmco,UK,2021,6,A_PublicPower,PublicPower,Emis_UK_PublicPower_6,0.0376091022783376
pmco,UK,2021,7,A_PublicPower,PublicPower,Emis_UK_PublicPower_7,0.0370730076261287
pmco,UK,2021,8,A_PublicPower,PublicPower,Emis_UK_PublicPower_8,0.0309285380607722
pmco,UK,2021,9,A_PublicPower,PublicPower,Emis_UK_PublicPower_9,0.0359595802361879
pmco,UK,2021,10,A_PublicPower,PublicPower,Emis_UK_PublicPower_10,0.0394648145578233
pmco,UK,2021,11,A_PublicPower,PublicPower,Emis_UK_PublicPower_11,0.0390524340487041
pmco,UK,2021,12,A_PublicPower,PublicPower,Emis_UK_PublicPower_12,0.0475887105572313
pmco,UK,2021,1,B_Industry,Industry,Emis_UK_Industry_1,3.04535669251557
pmco,UK,2021,2,B_Industry,Industry,Emis_UK_Industry_2,2.75247645984662
pmco,UK,2021,3,B_Industry,Industry,Emis_UK_Industry_3,3.04535669251557
pmco,UK,2021,4,B_Industry,Industry,Emis_UK_Industry_4,2.94673375611902
pmco,UK,2021,5,B_Industry,Industry,Emis_UK_Industry_5,3.04535669251557
pmco,UK,2021,6,B_Industry,Industry,Emis_UK_Industry_6,2.94673375611902
pmco,UK,2021,7,B_Industry,Industry,Emis_UK_Industry_7,3.04535669251557
pmco,UK,2021,8,B_Industry,Industry,Emis_UK_Industry_8,3.04535669251557
pmco,UK,2021,9,B_Industry,Industry,Emis_UK_Industry_9,2.94673375611902
pmco,UK,2021,10,B_Industry,Industry,Emis_UK_Industry_10,3.04535669251557
pmco,UK,2021,11,B_Industry,Industry,Emis_UK_Industry_11,2.94673375611902
pmco,UK,2021,12,B_Industry,Industry,Emis_UK_Industry_12,3.04535669251557
pmco,UK,2021,1,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_1,0.0876002319398908
pmco,UK,2021,2,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_2,0.0807658174949752
pmco,UK,2021,3,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_3,0.0641038143834288
pmco,UK,2021,4,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_4,0.0526798661534601
pmco,UK,2021,5,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_5,0.0295326522309296
pmco,UK,2021,6,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_6,0.0264895917766759
pmco,UK,2021,7,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_7,0.0273376578093069
pmco,UK,2021,8,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_8,0.0273376578093069
pmco,UK,2021,9,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_9,0.0264895917766759
pmco,UK,2021,10,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_10,0.0367162703422752
pmco,UK,2021,11,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_11,0.0539769083017932
pmco,UK,2021,12,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_12,0.0856047824937252
pmco,UK,2021,1,D_Fugitive,Fugitive,Emis_UK_Fugitive_1,0.00358927477430552
pmco,UK,2021,2,D_Fugitive,Fugitive,Emis_UK_Fugitive_2,0.00358927477430552
pmco,UK,2021,3,D_Fugitive,Fugitive,Emis_UK_Fugitive_3,0.00358927477430552
pmco,UK,2021,4,D_Fugitive,Fugitive,Emis_UK_Fugitive_4,0.00358927477430552
pmco,UK,2021,5,D_Fugitive,Fugitive,Emis_UK_Fugitive_5,0.00358927477430552
pmco,UK,2021,6,D_Fugitive,Fugitive,Emis_UK_Fugitive_6,0.00358927477430552
pmco,UK,2021,7,D_Fugitive,Fugitive,Emis_UK_Fugitive_7,0.00358927477430552
pmco,UK,2021,8,D_Fugitive,Fugitive,Emis_UK_Fugitive_8,0.00358927477430552
pmco,UK,2021,9,D_Fugitive,Fugitive,Emis_UK_Fugitive_9,0.00358927477430552
pmco,UK,2021,10,D_Fugitive,Fugitive,Emis_UK_Fugitive_10,0.00358927477430552
pmco,UK,2021,11,D_Fugitive,Fugitive,Emis_UK_Fugitive_11,0.00358927477430552
pmco,UK,2021,12,D_Fugitive,Fugitive,Emis_UK_Fugitive_12,0.00358927477430552
pmco,UK,2021,1,E_Solvents,Solvents,Emis_UK_Solvents_1,0.0609597583996946
pmco,UK,2021,2,E_Solvents,Solvents,Emis_UK_Solvents_2,0.0609597583996946
pmco,UK,2021,3,E_Solvents,Solvents,Emis_UK_Solvents_3,0.0609597583996946
pmco,UK,2021,4,E_Solvents,Solvents,Emis_UK_Solvents_4,0.0609597583996946
pmco,UK,2021,5,E_Solvents,Solvents,Emis_UK_Solvents_5,0.0609597583996946
pmco,UK,2021,6,E_Solvents,Solvents,Emis_UK_Solvents_6,0.0609597583996946
pmco,UK,2021,7,E_Solvents,Solvents,Emis_UK_Solvents_7,0.0609597583996946
pmco,UK,2021,8,E_Solvents,Solvents,Emis_UK_Solvents_8,0.0609597583996946
pmco,UK,2021,9,E_Solvents,Solvents,Emis_UK_Solvents_9,0.0609597583996946
pmco,UK,2021,10,E_Solvents,Solvents,Emis_UK_Solvents_10,0.0609597583996946
pmco,UK,2021,11,E_Solvents,Solvents,Emis_UK_Solvents_11,0.0609597583996946
pmco,UK,2021,12,E_Solvents,Solvents,Emis_UK_Solvents_12,0.0609597583996946
pmco,UK,2021,1,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_1,1.85873190703569
pmco,UK,2021,2,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_2,1.85873190703569
pmco,UK,2021,3,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_3,1.85873190703569
pmco,UK,2021,4,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_4,1.85873190703569
pmco,UK,2021,5,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_5,1.85873190703569
pmco,UK,2021,6,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_6,1.85873190703569
pmco,UK,2021,7,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_7,1.85873190703569
pmco,UK,2021,8,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_8,1.85873190703569
pmco,UK,2021,9,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_9,1.85873190703569
pmco,UK,2021,10,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_10,1.85873190703569
pmco,UK,2021,11,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_11,1.85873190703569
pmco,UK,2021,12,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_12,1.85873190703569
pmco,UK,2021,1,G_Shipping,Shipping,Emis_UK_Shipping_1,0
pmco,UK,2021,2,G_Shipping,Shipping,Emis_UK_Shipping_2,0
pmco,UK,2021,3,G_Shipping,Shipping,Emis_UK_Shipping_3,0
pmco,UK,2021,4,G_Shipping,Shipping,Emis_UK_Shipping_4,0
pmco,UK,2021,5,G_Shipping,Shipping,Emis_UK_Shipping_5,0
pmco,UK,2021,6,G_Shipping,Shipping,Emis_UK_Shipping_6,0
pmco,UK,2021,7,G_Shipping,Shipping,Emis_UK_Shipping_7,0
pmco,UK,2021,8,G_Shipping,Shipping,Emis_UK_Shipping_8,0
pmco,UK,2021,9,G_Shipping,Shipping,Emis_UK_Shipping_9,0
pmco,UK,2021,10,G_Shipping,Shipping,Emis_UK_Shipping_10,0
pmco,UK,2021,11,G_Shipping,Shipping,Emis_UK_Shipping_11,0
pmco,UK,2021,12,G_Shipping,Shipping,Emis_UK_Shipping_12,0
pmco,UK,2021,1,H_Aviation,Aviation,Emis_UK_Aviation_1,0
pmco,UK,2021,2,H_Aviation,Aviation,Emis_UK_Aviation_2,0
pmco,UK,2021,3,H_Aviation,Aviation,Emis_UK_Aviation_3,0
