ISO,Year,EMEP_data,GNFR,Pollutant,emis_t,SNAP,Region,EMEP_Sector,sec_long,long_name,Data_source
AZ,2015,2015,L_AgriOther,pmco,1729.81,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BA,2015,2015,A_PublicPower,pmco,12043.52,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BA,2015,2015,B_Industry,pmco,1918.64,3,eu,2,sec02,Industry,EMEP_unprocessed
BA,2015,2015,C_OtherStationaryComb,pmco,2605.3,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BA,2015,2015,D_Fugitive,pmco,1241.72,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BA,2015,2015,F_RoadTransport,pmco,314.82,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BA,2015,2015,H_Aviation,pmco,0.01,8,eu,8,sec08,Aviation,EMEP_unprocessed
BA,2015,2015,I_Offroad,pmco,3.4,8,eu,9,sec09,Offroad,EMEP_unprocessed
BA,2015,2015,J_Waste,pmco,176.56,9,eu,10,sec10,Waste,EMEP_unprocessed
BA,2015,2015,K_AgriLivestock,pmco,1116.03,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BA,2015,2015,L_AgriOther,pmco,530.24,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BE,2015,2015,A_PublicPower,pmco,73.2434833336901,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BE,2015,2015,B_Industry,pmco,6136.86487358754,3,eu,2,sec02,Industry,EMEP_unprocessed
BE,2015,2015,C_OtherStationaryComb,pmco,258.305349542699,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BE,2015,2015,D_Fugitive,pmco,27.2235,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BE,2015,2015,E_Solvents,pmco,35.9884268476099,6,eu,5,sec05,Solvents,EMEP_unprocessed
BE,2015,2015,F_RoadTransport,pmco,1730.65245344927,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BE,2015,2015,G_Shipping,pmco,10.575779471598,8,eu,7,sec07,Shipping,EMEP_unprocessed
BE,2015,2015,H_Aviation,pmco,3.5114661020644,8,eu,8,sec08,Aviation,EMEP_unprocessed
BE,2015,2015,I_Offroad,pmco,247.118345853634,8,eu,9,sec09,Offroad,EMEP_unprocessed
BE,2015,2015,J_Waste,pmco,0.796892274673944,9,eu,10,sec10,Waste,EMEP_unprocessed
BE,2015,2015,K_AgriLivestock,pmco,1703.68979560336,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BE,2015,2015,L_AgriOther,pmco,1229.43480470265,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BG,2015,2015,A_PublicPower,pmco,250,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BG,2015,2015,B_Industry,pmco,7946.41432365866,3,eu,2,sec02,Industry,EMEP_unprocessed
BG,2015,2015,C_OtherStationaryComb,pmco,661.747172892798,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BG,2015,2015,D_Fugitive,pmco,1202.4032,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BG,2015,2015,E_Solvents,pmco,229.55771610306,6,eu,5,sec05,Solvents,EMEP_unprocessed
BG,2015,2015,F_RoadTransport,pmco,669.485321532801,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BG,2015,2015,I_Offroad,pmco,1.11999999999998,8,eu,9,sec09,Offroad,EMEP_unprocessed
BG,2015,2015,J_Waste,pmco,0.425587226999978,9,eu,10,sec10,Waste,EMEP_unprocessed
BG,2015,2015,K_AgriLivestock,pmco,665.941104014434,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BG,2015,2015,L_AgriOther,pmco,8475.7137260036,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BY,2015,2015,A_PublicPower,pmco,498.7,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BY,2015,2015,B_Industry,pmco,4280.64999999999,3,eu,2,sec02,Industry,EMEP_unprocessed
BY,2015,2015,C_OtherStationaryComb,pmco,1340.21,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BY,2015,2015,D_Fugitive,pmco,24.11,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BY,2015,2015,F_RoadTransport,pmco,1081.28,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BY,2015,2015,H_Aviation,pmco,0.18,8,eu,8,sec08,Aviation,EMEP_unprocessed
BY,2015,2015,I_Offroad,pmco,192.25,8,eu,9,sec09,Offroad,EMEP_unprocessed
BY,2015,2015,J_Waste,pmco,340.59,9,eu,10,sec10,Waste,EMEP_unprocessed
BY,2015,2015,K_AgriLivestock,pmco,3328.20999999999,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BY,2015,2015,L_AgriOther,pmco,5545.23999999998,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CH,2015,2015,A_PublicPower,pmco,0.0375899999999972,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CH,2015,2015,B_Industry,pmco,690.424402318011,3,eu,2,sec02,Industry,EMEP_unprocessed
CH,2015,2015,C_OtherStationaryComb,pmco,171.52306998,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CH,2015,2015,D_Fugitive,pmco,0.57722841081,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CH,2015,2015,E_Solvents,pmco,145.44,6,eu,5,sec05,Solvents,EMEP_unprocessed
CH,2015,2015,F_RoadTransport,pmco,1708.97432401829,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CH,2015,2015,I_Offroad,pmco,3389.35214890543,8,eu,9,sec09,Offroad,EMEP_unprocessed
CH,2015,2015,J_Waste,pmco,41.03558955654,9,eu,10,sec10,Waste,EMEP_unprocessed
CH,2015,2015,K_AgriLivestock,pmco,613.27174546083,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
CH,2015,2015,L_AgriOther,pmco,968.473947929769,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CH,2015,2015,M_Other,pmco,125.237621908319,11,eu,13,sec13,Other,EMEP_unprocessed
CY,2015,2015,A_PublicPower,pmco,102.261899138125,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CY,2015,2015,B_Industry,pmco,242.469886724617,3,eu,2,sec02,Industry,EMEP_unprocessed
CY,2015,2015,C_OtherStationaryComb,pmco,2.9947181066276,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CY,2015,2015,E_Solvents,pmco,0.953506539999997,6,eu,5,sec05,Solvents,EMEP_unprocessed
CY,2015,2015,F_RoadTransport,pmco,135.741686451203,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CY,2015,2015,I_Offroad,pmco,0.400530936357498,8,eu,9,sec09,Offroad,EMEP_unprocessed
CY,2015,2015,J_Waste,pmco,0.247536426877401,9,eu,10,sec10,Waste,EMEP_unprocessed
CY,2015,2015,K_AgriLivestock,pmco,229.828605181018,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
CY,2015,2015,L_AgriOther,pmco,50.67843,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CZ,2015,2015,A_PublicPower,pmco,663.494181,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CZ,2015,2015,B_Industry,pmco,2598.90179376296,3,eu,2,sec02,Industry,EMEP_unprocessed
CZ,2015,2015,C_OtherStationaryComb,pmco,1506.80794133871,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CZ,2015,2015,D_Fugitive,pmco,1606.21023657098,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CZ,2015,2015,E_Solvents,pmco,258.813521654548,6,eu,5,sec05,Solvents,EMEP_unprocessed
CZ,2015,2015,F_RoadTransport,pmco,1246.4765658723,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CZ,2015,2015,G_Shipping,pmco,0.760645164840001,8,eu,7,sec07,Shipping,EMEP_unprocessed
CZ,2015,2015,I_Offroad,pmco,80.7211601619299,8,eu,9,sec09,Offroad,EMEP_unprocessed
CZ,2015,2015,J_Waste,pmco,49.029348156558,9,eu,10,sec10,Waste,EMEP_unprocessed
CZ,2015,2015,K_AgriLivestock,pmco,1024.532738,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
CZ,2015,2015,L_AgriOther,pmco,6290.66342254384,10,eu,12,sec12,AgriOther,EMEP_unprocessed
DE,2015,2015,A_PublicPower,pmco,545.82581733028,1,eu,1,sec01,PublicPower,EMEP_unprocessed
DE,2015,2015,B_Industry,pmco,62993.7792699157,3,eu,2,sec02,Industry,EMEP_unprocessed
DE,2015,2015,C_OtherStationaryComb,pmco,1365.20748454641,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
DE,2015,2015,D_Fugitive,pmco,2422.36052219999,5,eu,4,sec04,Fugitive,EMEP_unprocessed
DE,2015,2015,E_Solvents,pmco,407.685751766389,6,eu,5,sec05,Solvents,EMEP_unprocessed
DE,2015,2015,F_RoadTransport,pmco,9774.37237576209,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
DE,2015,2015,G_Shipping,pmco,36.588844531164,8,eu,7,sec07,Shipping,EMEP_unprocessed
DE,2015,2015,I_Offroad,pmco,4252.56263637951,8,eu,9,sec09,Offroad,EMEP_unprocessed
DE,2015,2015,J_Waste,pmco,138.485119599911,9,eu,10,sec10,Waste,EMEP_unprocessed
DE,2015,2015,K_AgriLivestock,pmco,9455.85297552,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
DE,2015,2015,L_AgriOther,pmco,20069.04956582,10,eu,12,sec12,AgriOther,EMEP_unprocessed
DK,2015,2015,A_PublicPower,pmco,100.506668376091,1,eu,1,sec01,PublicPower,EMEP_unprocessed
DK,2015,2015,B_Industry,pmco,1535.19642958842,3,eu,2,sec02,Industry,EMEP_unprocessed
DK,2015,2015,C_OtherStationaryComb,pmco,196.552924603299,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
DK,2015,2015,D_Fugitive,pmco,26.471376,5,eu,4,sec04,Fugitive,EMEP_unprocessed
DK,2015,2015,E_Solvents,pmco,91.87968744,6,eu,5,sec05,Solvents,EMEP_unprocessed
DK,2015,2015,F_RoadTransport,pmco,842.261069131584,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
DK,2015,2015,G_Shipping,pmco,1.12279416236,8,eu,7,sec07,Shipping,EMEP_unprocessed
DK,2015,2015,H_Aviation,pmco,0.2397683905652,8,eu,8,sec08,Aviation,EMEP_unprocessed
DK,2015,2015,I_Offroad,pmco,426.023355988559,8,eu,9,sec09,Offroad,EMEP_unprocessed
DK,2015,2015,J_Waste,pmco,7.59284926401699,9,eu,10,sec10,Waste,EMEP_unprocessed
DK,2015,2015,K_AgriLivestock,pmco,1869.79533728986,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
DK,2015,2015,L_AgriOther,pmco,5059.884772,10,eu,12,sec12,AgriOther,EMEP_unprocessed
EE,2015,2015,A_PublicPower,pmco,2236.994,1,eu,1,sec01,PublicPower,EMEP_unprocessed
EE,2015,2015,B_Industry,pmco,2347.157,3,eu,2,sec02,Industry,EMEP_unprocessed
EE,2015,2015,C_OtherStationaryComb,pmco,92.689,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
EE,2015,2015,D_Fugitive,pmco,30.9360000000001,5,eu,4,sec04,Fugitive,EMEP_unprocessed
EE,2015,2015,E_Solvents,pmco,17.64,6,eu,5,sec05,Solvents,EMEP_unprocessed
EE,2015,2015,F_RoadTransport,pmco,557.706999999996,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
EE,2015,2015,G_Shipping,pmco,0.6,8,eu,7,sec07,Shipping,EMEP_unprocessed
EE,2015,2015,I_Offroad,pmco,1.96900000000001,8,eu,9,sec09,Offroad,EMEP_unprocessed
EE,2015,2015,J_Waste,pmco,3.48220000000002,9,eu,10,sec10,Waste,EMEP_unprocessed
EE,2015,2015,K_AgriLivestock,pmco,186.041,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
EE,2015,2015,L_AgriOther,pmco,1351.041,10,eu,12,sec12,AgriOther,EMEP_unprocessed
ES,2015,2015,A_PublicPower,pmco,1732.96741112433,1,eu,1,sec01,PublicPower,EMEP_unprocessed
ES,2015,2015,B_Industry,pmco,21991.0081119372,3,eu,2,sec02,Industry,EMEP_unprocessed
ES,2015,2015,C_OtherStationaryComb,pmco,1902.422524,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
ES,2015,2015,D_Fugitive,pmco,430.90582044,5,eu,4,sec04,Fugitive,EMEP_unprocessed
ES,2015,2015,E_Solvents,pmco,183.483662999999,6,eu,5,sec05,Solvents,EMEP_unprocessed
ES,2015,2015,F_RoadTransport,pmco,4115.35140300001,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
ES,2015,2015,G_Shipping,pmco,71.389847,8,eu,7,sec07,Shipping,EMEP_unprocessed
ES,2015,2015,I_Offroad,pmco,88.9996799999997,8,eu,9,sec09,Offroad,EMEP_unprocessed
ES,2015,2015,J_Waste,pmco,2899.409752,9,eu,10,sec10,Waste,EMEP_unprocessed
ES,2015,2015,K_AgriLivestock,pmco,9192.21335599993,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
ES,2015,2015,L_AgriOther,pmco,41959.4346070001,10,eu,12,sec12,AgriOther,EMEP_unprocessed
FI,2015,2015,A_PublicPower,pmco,840.214367882974,1,eu,1,sec01,PublicPower,EMEP_unprocessed
FI,2015,2015,B_Industry,pmco,1590.41556973661,3,eu,2,sec02,Industry,EMEP_unprocessed
FI,2015,2015,C_OtherStationaryComb,pmco,1099.11344505023,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
FI,2015,2015,D_Fugitive,pmco,291.387865492348,5,eu,4,sec04,Fugitive,EMEP_unprocessed
FI,2015,2015,E_Solvents,pmco,7.67830360535996,6,eu,5,sec05,Solvents,EMEP_unprocessed
FI,2015,2015,F_RoadTransport,pmco,5632.38717186037,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
FI,2015,2015,G_Shipping,pmco,8.70491998608503,8,eu,7,sec07,Shipping,EMEP_unprocessed
FI,2015,2015,I_Offroad,pmco,4.67499873936,8,eu,9,sec09,Offroad,EMEP_unprocessed
FI,2015,2015,J_Waste,pmco,0.561093180000002,9,eu,10,sec10,Waste,EMEP_unprocessed
FI,2015,2015,K_AgriLivestock,pmco,407.568684063004,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
FI,2015,2015,L_AgriOther,pmco,3798.62113590002,10,eu,12,sec12,AgriOther,EMEP_unprocessed
FR,2015,2015,A_PublicPower,pmco,512.98095720635,1,eu,1,sec01,PublicPower,EMEP_unprocessed
FR,2015,2015,B_Industry,pmco,29629.8711844932,3,eu,2,sec02,Industry,EMEP_unprocessed
FR,2015,2015,C_OtherStationaryComb,pmco,2947.94420198898,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
FR,2015,2015,D_Fugitive,pmco,146.019501106858,5,eu,4,sec04,Fugitive,EMEP_unprocessed
FR,2015,2015,E_Solvents,pmco,157.887389454092,6,eu,5,sec05,Solvents,EMEP_unprocessed
FR,2015,2015,F_RoadTransport,pmco,7527.0680516219,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
