iso_char,iso_code,Pollutant,Data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,24.6594453204,24.6594453204,24.6594453204,24.6594453204,1
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,58269.9744474554,58269.9744474554,58269.9744474554,58269.9744474554,1
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,755.832488398257,755.832488398257,755.832488398257,755.832488398257,1
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,704.41991190518,704.41991190518,704.41991190518,704.41991190518,1
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,12239.7940653206,12239.7940653206,12239.7940653206,12239.7940653206,1
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,26.4791937011239,26.479193701124,26.4791937011239,26.4791937011239,1
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,579.29958901331,579.299589013309,579.29958901331,579.29958901331,1
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,10281.4479389978,10281.4479389978,10281.4479389978,10281.4479389978,1
AT,2,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,662212.067019745,662212.067019742,662212.067019745,662212.067019745,1
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,0,0,0,0,
ATL,32,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,0,0,0,0,
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,28460.82,28460.82,28460.82,28460.82,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,37825.14,37825.14,37825.14,37825.14,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,5624,5624,5624,5624,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,388.36,388.36,388.36,388.36,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,61834.4999999999,61834.4999999999,61834.4999999999,61834.4999999999,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,1396.59,1396.59,1396.59,1396.59,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,207.5,207.5,207.5,207.5,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,3232.48,3232.48,3232.48,3232.48,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,199.65,199.65,199.65,199.65,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,8165.05,8165.05,8165.05,8165.05,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,786.820000000001,786.82,786.820000000001,786.820000000001,1
AZ,69,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,0,0,0,0,
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,9429.43000000001,9429.43000000001,9429.43000000001,9429.43000000001,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,4545.19,4545.19,4545.19,4545.19,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,2836.23,2836.23,2836.23,2836.23,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,16179.71,16179.71,16179.71,16179.71,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,0,0,0,0,
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,1.49,1.49,1.49,1.49,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,649.57,649.57,649.57,649.57,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,266.49,266.49,266.49,266.49,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,1934.59,1934.59,1934.59,1934.59,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,1604.25,1604.25,1604.25,1604.25,1
BA,50,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,1400,1400,1400,1400,1
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,250248.204095872,250248.204095871,250248.204095872,250248.204095872,1
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,0,0,0,0,
BAS,30,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,0,0,0,0,
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,8666.767280795,8666.767280795,8666.767280795,8666.767280795,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,35979.937500901,35979.937500901,35979.937500901,35979.937500901,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,14804.592416502,14804.592416502,14804.592416502,14804.592416502,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,62.0770000000001,62.0770000000001,62.0770000000001,62.0770000000001,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,56.5392205031938,56.5392205031938,56.5392205031938,56.5392205031938,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,50142.9135460368,50142.9135460368,50142.9135460368,50142.9135460368,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,5253.50250366164,5253.50250366164,5253.50250366164,5253.50250366164,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,1300.54453565105,1300.54453565105,1300.54453565105,1300.54453565105,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,8015.83611303318,8015.83611303318,8015.83611303318,8015.83611303318,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,578.237349509706,578.237349509706,578.237349509706,578.237349509706,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,3065.90043436313,3065.90043436313,3065.90043436313,3065.90043436313,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,13896.7404208571,13896.7404208571,13896.7404208571,13896.7404208571,1
BE,3,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,0,0,0,0,
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,12107.214205,12107.214205,12107.214205,12107.214205,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,8330.21450514739,8330.2145051474,8330.21450514739,8330.21450514739,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,3740.34349558969,3740.34349558969,3740.34349558969,3740.34349558969,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,1430.966946,1430.966946,1430.966946,1430.966946,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,18.6985234633333,18.6985234633333,18.6985234633333,18.6985234633333,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,35818.7883181985,35818.7883181985,35818.7883181985,35818.7883181985,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,1361.93560882683,1361.93560882683,1361.93560882683,1361.93560882683,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,232.739694738587,232.739694738587,232.739694738587,232.739694738587,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,2690.67718425708,2690.67718425708,2690.67718425708,2690.67718425708,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,78.042933141,78.0429331409999,78.042933141,78.042933141,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,418.753047777018,418.753047777018,418.753047777018,418.753047777018,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,16744.184721456,16744.184721456,16744.184721456,16744.184721456,1
BG,4,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,78200.9293079804,78200.9293079803,78200.9293079804,78200.9293079804,1
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,0,0,0,0,
BLS,34,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,0,0,0,0,
BY,39,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,19502.63,19502.63,19502.63,19502.63,1
BY,39,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,20527.4199999999,20527.4199999999,20527.4199999999,20527.4199999999,1
BY,39,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,5541.04999999998,5541.05,5541.04999999998,5541.04999999998,1
BY,39,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,17,17,17,17,1
BY,39,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
BY,39,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,44640.9599999999,44640.9599999999,44640.9599999999,44640.9599999999,1
