ISO,Year,EMEP_data,GNFR,Pollutant,emis_t,SNAP,Region,EMEP_Sector,sec_long,long_name,Data_source
AL,2020,2020,B_Industry,pmco,722.8,3,eu,2,sec02,Industry,EMEP_unprocessed
AL,2020,2020,C_OtherStationaryComb,pmco,141.91,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AL,2020,2020,D_Fugitive,pmco,25.84,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AL,2020,2020,F_RoadTransport,pmco,165.41,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AL,2020,2020,G_Shipping,pmco,8.81000000000001,8,eu,7,sec07,Shipping,EMEP_unprocessed
AL,2020,2020,H_Aviation,pmco,0.01,8,eu,8,sec08,Aviation,EMEP_unprocessed
AL,2020,2020,I_Offroad,pmco,8.38,8,eu,9,sec09,Offroad,EMEP_unprocessed
AL,2020,2020,J_Waste,pmco,130.03,9,eu,10,sec10,Waste,EMEP_unprocessed
AL,2020,2020,K_AgriLivestock,pmco,612.26,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AL,2020,2020,L_AgriOther,pmco,475.96,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AM,2020,2020,A_PublicPower,pmco,0.270000000000001,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AM,2020,2020,B_Industry,pmco,863.599999999999,3,eu,2,sec02,Industry,EMEP_unprocessed
AM,2020,2020,C_OtherStationaryComb,pmco,231.15,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AM,2020,2020,D_Fugitive,pmco,0.68,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AM,2020,2020,F_RoadTransport,pmco,61.66,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AM,2020,2020,H_Aviation,pmco,0.06,8,eu,8,sec08,Aviation,EMEP_unprocessed
AM,2020,2020,I_Offroad,pmco,0.880000000000002,8,eu,9,sec09,Offroad,EMEP_unprocessed
AM,2020,2020,J_Waste,pmco,54.54,9,eu,10,sec10,Waste,EMEP_unprocessed
AM,2020,2020,K_AgriLivestock,pmco,535.43,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AM,2020,2020,L_AgriOther,pmco,525.89,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AST,2020,2020,A_PublicPower,pmco,43556.8141055629,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AST,2020,2020,B_Industry,pmco,94306.1716103451,3,eu,2,sec02,Industry,EMEP_unprocessed
AST,2020,2020,C_OtherStationaryComb,pmco,509507.511571179,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AST,2020,2020,D_Fugitive,pmco,70.3136162811728,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AST,2020,2020,F_RoadTransport,pmco,16196.3857908037,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AST,2020,2020,I_Offroad,pmco,1.92757039264002,8,eu,9,sec09,Offroad,EMEP_unprocessed
AST,2020,2020,J_Waste,pmco,1261.33338325967,9,eu,10,sec10,Waste,EMEP_unprocessed
AST,2020,2020,K_AgriLivestock,pmco,80839.043540416,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AST,2020,2020,L_AgriOther,pmco,10361.3236682009,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AT,2020,2020,A_PublicPower,pmco,167.614221924049,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AT,2020,2020,B_Industry,pmco,7732.19388343228,3,eu,2,sec02,Industry,EMEP_unprocessed
AT,2020,2020,C_OtherStationaryComb,pmco,403.30865312405,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AT,2020,2020,D_Fugitive,pmco,109.076515122,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AT,2020,2020,E_Solvents,pmco,4.603288792568,6,eu,5,sec05,Solvents,EMEP_unprocessed
AT,2020,2020,F_RoadTransport,pmco,1260.99835209146,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AT,2020,2020,I_Offroad,pmco,314.268019742388,8,eu,9,sec09,Offroad,EMEP_unprocessed
AT,2020,2020,J_Waste,pmco,168.654965590301,9,eu,10,sec10,Waste,EMEP_unprocessed
AT,2020,2020,K_AgriLivestock,pmco,399.526633238109,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AT,2020,2020,L_AgriOther,pmco,3187.96310833662,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AZ,2020,2020,A_PublicPower,pmco,56.2000000000001,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AZ,2020,2020,B_Industry,pmco,2203.6,3,eu,2,sec02,Industry,EMEP_unprocessed
AZ,2020,2020,C_OtherStationaryComb,pmco,54.1600000000001,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AZ,2020,2020,D_Fugitive,pmco,0.360000000000027,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AZ,2020,2020,F_RoadTransport,pmco,501.239999999999,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AZ,2020,2020,G_Shipping,pmco,7.02,8,eu,7,sec07,Shipping,EMEP_unprocessed
AZ,2020,2020,H_Aviation,pmco,0.81,8,eu,8,sec08,Aviation,EMEP_unprocessed
AZ,2020,2020,I_Offroad,pmco,15.86,8,eu,9,sec09,Offroad,EMEP_unprocessed
AZ,2020,2020,J_Waste,pmco,137.37,9,eu,10,sec10,Waste,EMEP_unprocessed
AZ,2020,2020,K_AgriLivestock,pmco,1820.81,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AZ,2020,2020,L_AgriOther,pmco,1700.74,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BA,2020,2020,A_PublicPower,pmco,2633.79,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BA,2020,2020,B_Industry,pmco,1445.39,3,eu,2,sec02,Industry,EMEP_unprocessed
BA,2020,2020,C_OtherStationaryComb,pmco,1304.08,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BA,2020,2020,D_Fugitive,pmco,1255.04,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BA,2020,2020,F_RoadTransport,pmco,281.96,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BA,2020,2020,I_Offroad,pmco,2.36,8,eu,9,sec09,Offroad,EMEP_unprocessed
BA,2020,2020,J_Waste,pmco,191.07,9,eu,10,sec10,Waste,EMEP_unprocessed
BA,2020,2020,K_AgriLivestock,pmco,1422.43,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BA,2020,2020,L_AgriOther,pmco,532.32,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BE,2020,2020,A_PublicPower,pmco,29.440214438452,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BE,2020,2020,B_Industry,pmco,7061.89925286465,3,eu,2,sec02,Industry,EMEP_unprocessed
BE,2020,2020,C_OtherStationaryComb,pmco,190.00217073582,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BE,2020,2020,D_Fugitive,pmco,24.122464,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BE,2020,2020,E_Solvents,pmco,25.769315574623,6,eu,5,sec05,Solvents,EMEP_unprocessed
BE,2020,2020,F_RoadTransport,pmco,1443.61924697052,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BE,2020,2020,G_Shipping,pmco,8.688478290511,8,eu,7,sec07,Shipping,EMEP_unprocessed
BE,2020,2020,H_Aviation,pmco,2.0737154749766,8,eu,8,sec08,Aviation,EMEP_unprocessed
BE,2020,2020,I_Offroad,pmco,269.509414142874,8,eu,9,sec09,Offroad,EMEP_unprocessed
BE,2020,2020,J_Waste,pmco,0.574909047602934,9,eu,10,sec10,Waste,EMEP_unprocessed
BE,2020,2020,K_AgriLivestock,pmco,1846.09094655385,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
