Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,ISO,layer_name,t1,ann_emis_kt
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,AT,voc_AT_sector=3,22888.228286451,22.888228286451
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,AT,voc_AT_sector=4,1864.30321279676,1.86430321279676
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,AT,voc_AT_sector=5,31325.3024164209,31.3253024164209
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,AT,voc_AT_sector=6,3472.70001324406,3.47270001324406
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,AT,voc_AT_sector=7,486.943468737022,0.486943468737022
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,AT,voc_AT_sector=8,165.4716085373,0.1654716085373
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,AT,voc_AT_sector=9,2191.61229451713,2.19161229451713
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,AT,voc_AT_sector=10,55.190599736292,0.055190599736292
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,AT,voc_AT_sector=11,23943.1568055705,23.9431568055705
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,AT,voc_AT_sector=12,8556.505139051,8.556505139051
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,AT,voc_AT_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,ATL,voc_ATL_sector=1,0,0
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,ATL,voc_ATL_sector=2,0,0
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,ATL,voc_ATL_sector=3,0,0
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,ATL,voc_ATL_sector=4,0,0
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,ATL,voc_ATL_sector=5,0,0
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,ATL,voc_ATL_sector=6,0,0
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,ATL,voc_ATL_sector=7,8034.68109509968,8.03468109509968
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,ATL,voc_ATL_sector=8,0,0
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,ATL,voc_ATL_sector=9,0,0
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,ATL,voc_ATL_sector=10,0,0
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,ATL,voc_ATL_sector=11,0,0
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,ATL,voc_ATL_sector=12,0,0
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,ATL,voc_ATL_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,AZ,voc_AZ_sector=1,819.472201469352,0.819472201469352
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,AZ,voc_AZ_sector=2,20090.6000358413,20.0906000358413
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,AZ,voc_AZ_sector=3,3099.66659300219,3.09966659300219
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,AZ,voc_AZ_sector=4,260574.573575168,260.574573575168
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,AZ,voc_AZ_sector=5,33851.3032868908,33.8513032868908
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,AZ,voc_AZ_sector=6,59193.5775965345,59.1935775965345
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,AZ,voc_AZ_sector=7,268.054583534888,0.268054583534888
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,AZ,voc_AZ_sector=8,816.813487141267,0.816813487141267
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,AZ,voc_AZ_sector=9,232.316528708313,0.232316528708313
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,AZ,voc_AZ_sector=10,1549.40599993554,1.54940599993554
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,AZ,voc_AZ_sector=11,24228.2119993385,24.2282119993385
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,AZ,voc_AZ_sector=12,6356.42999984337,6.35642999984337
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,AZ,voc_AZ_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,BA,voc_BA_sector=1,1010.87206411992,1.01087206411992
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,BA,voc_BA_sector=2,4245.51172256665,4.24551172256665
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,BA,voc_BA_sector=3,63233.6603758782,63.2336603758782
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,BA,voc_BA_sector=4,773.92190977042,0.77392190977042
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,BA,voc_BA_sector=5,11314.962012715,11.314962012715
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,BA,voc_BA_sector=6,2179.7424240567,2.1797424240567
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,BA,voc_BA_sector=7,0,0
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,BA,voc_BA_sector=8,17.1632846514336,0.0171632846514336
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,BA,voc_BA_sector=9,107.504273191056,0.107504273191056
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,BA,voc_BA_sector=10,2659.23599984222,2.65923599984222
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,BA,voc_BA_sector=11,9442.07399989621,9.44207399989621
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,BA,voc_BA_sector=12,3005.44600024154,3.00544600024154
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,BA,voc_BA_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,BAS,voc_BAS_sector=1,0,0
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,BAS,voc_BAS_sector=2,0,0
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,BAS,voc_BAS_sector=3,0,0
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,BAS,voc_BAS_sector=4,0,0
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,BAS,voc_BAS_sector=5,0,0
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,BAS,voc_BAS_sector=6,0,0
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,BAS,voc_BAS_sector=7,2958.01536688322,2.95801536688322
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,BAS,voc_BAS_sector=8,0,0
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,BAS,voc_BAS_sector=9,0,0
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,BAS,voc_BAS_sector=10,0,0
