Pollutant,GNFR,ISO2,RepTot_2019,RepTot_2020,RepTot_2021,MapTot,rep21_to_rep19,map21_to_rep21
co,A_PublicPower,GB,36.711804286621,41.035104867311,45.028529503954,45.0285295039537,0.815300981201203,0.999999999999993
co,A_PublicPower,GE,0.11514192,0.10452384,0.0842568,0.0842568,1.3665593756231,1
co,A_PublicPower,GR,13.3371313532009,6.65034884515198,6.50496728076839,6.50496728076839,2.05029952919694,1
co,A_PublicPower,HR,1.137467171089,1.14889514223948,,1.14889514223948,,
co,A_PublicPower,HU,7.06221697770632,7.99105117491961,7.39099779057848,7.39099779057848,0.955516045033694,1
co,A_PublicPower,IE,6.04839637277088,6.61224149120814,12.6228912088577,12.6228912088577,0.479160936483919,1
co,A_PublicPower,IS,0.0010972404028044,0.0003882816,0.000562107762,0.000562107762,1.95201076551652,1
co,A_PublicPower,IT,20.5485367045788,19.1133270376148,20.3592197549293,20.3592197549293,1.00929883128766,1
co,A_PublicPower,KZ,36.6549804728302,29.6266495674331,17.677479238649,,2.07354114113114,
co,A_PublicPower,KZT,,,,9.182974,,
co,A_PublicPower,LI,0.00365187219012,0.0025679818872,0.00271165176432,0.00271165176432,1.34673347004636,1
co,A_PublicPower,LT,7.139618,6.993317,8.641903,8.64190299999999,0.826162709764273,0.999999999999999
co,A_PublicPower,LU,1.10589466753597,1.77732392250019,1.91781990457118,1.91781990457118,0.576641563110299,1
co,A_PublicPower,LV,2.38702811410253,2.27270954596381,2.54130166341072,2.54130166341072,0.939293492177888,1
co,A_PublicPower,MC,0.00389171634825846,0.00162322656116009,0.00389350993092674,0.00389350993092674,0.999539340415178,1
co,A_PublicPower,MD,2.17867294818,2.53899130478628,,1.66838200917339,,
co,A_PublicPower,ME,0.135603272888889,0.145608566222222,0.13142088,0.159168,1.0318244170096,1.21113174710137
co,A_PublicPower,MK,1.80287399210324,1.094925,0.8066,0.806599999999999,2.2351524821513,0.999999999999999
co,A_PublicPower,MT,0.069146279907615,0.196673782584838,0.154557693559593,0.154557693559593,0.447381675509762,1
co,A_PublicPower,NL,3.581618134,3.47097007,4.563018579,4.563018579,0.784922978504489,1
co,A_PublicPower,NO,10.292823143,9.0730372793,10.899117555,10.899117555,0.94437215591625,1
co,A_PublicPower,NOA,,,,85.0691591948361,,
co,A_PublicPower,PL,53.4558928676432,47.2147826699711,58.7065294067035,58.7065294067034,0.910561285224591,0.999999999999999
co,A_PublicPower,PT,5.23283857920278,4.89087625506278,4.37520768995041,4.37520768995041,1.19602061205513,1
co,A_PublicPower,RO,7.2698990043,6.89066522102,7.1669064757894,7.1669064757894,1.01437056962561,1
co,A_PublicPower,RS,3.69153273443916,3.87411071475824,4.02404424481099,4.02404424481099,0.917368823466441,1
co,A_PublicPower,RU,218.024181841,207.064357991043,,227.80109489658,,
co,A_PublicPower,RUE,,,,153.904420743102,,
co,A_PublicPower,SE,5.42358636256107,4.75472823762669,5.747669387696,5.747669387696,0.943614880523801,1
co,A_PublicPower,SI,1.31783463607076,1.33215887859317,1.41129244728536,1.41129244728536,0.933778564893217,1
co,A_PublicPower,SK,1.423996129,1.452653087,1.87781225,1.87781225,0.758327212424991,1
co,A_PublicPower,TR,29.70469518,32.42407743,44.60153478,15.622998,0.666001637085368,0.350279381125817
co,A_PublicPower,UA,289.59115,251.79818,23.69585,10.521894,12.221175859908,0.444039525908545
co,B_Industry,AL,8.999627017,8.999627017,8.999627017,1.445878,1,0.160659769262524
co,B_Industry,AM,1.914834222,3.4014390056,3.7423194504,1.300064,0.511670435241794,0.347395249719006
co,B_Industry,AST,,,,613.441706509842,,
co,B_Industry,AT,174.316095274245,167.347453194384,192.547718691099,192.547718691099,0.905313739675604,1
co,B_Industry,AZ,,,,21.715572,,
co,B_Industry,BA,,,,27.540346,,
co,B_Industry,BE,207.325888918999,131.561900902242,127.639684747498,127.639684747498,1.62430586795274,1
co,B_Industry,BG,23.6086697482094,21.7277932659965,24.3398243001619,24.3398243001619,0.9699605657405,1
co,B_Industry,BY,42.3314,45.8792,50.6397,13.84357,0.835933072273335,0.273373854900404
co,B_Industry,CA,1174.10422047857,1124.31859696282,1160.41821153599,,1.0117940315022,
co,B_Industry,CH,20.6938334408904,19.1236816571237,16.8834787940123,16.8834787940123,1.22568539892557,1
co,B_Industry,CY,2.36910924893017,2.5716826057202,2.55801068524106,2.55801068524106,0.926152991697496,1
co,B_Industry,CZ,146.637370734,195.202156064304,206.29048547,206.29048547,0.710829539229161,1
co,B_Industry,DE,887.398291558516,784.195530485515,876.578339156811,876.578339156813,1.01234339467265,1
co,B_Industry,DK,8.39192164883719,9.3327317003459,8.85376966656496,8.85376966656495,0.947836002615714,1
co,B_Industry,EE,36.9391722,40.224045,32.901369,32.9013690000001,1.12272447386612,1
co,B_Industry,ES,328.168520741555,257.617553440182,322.965297086391,322.965297086391,1.01611078249615,1
co,B_Industry,FI,30.321232967053,30.3242509235347,27.0258523250021,27.0258523250021,1.12193438350887,1
co,B_Industry,FR,778.99705034571,626.834178650976,696.763427749008,696.763427749009,1.11802230042752,1
co,B_Industry,GB,358.820213787618,364.241618937971,347.141060814774,347.141060814774,1.03364382463265,1
co,B_Industry,GE,7.176505406059,6.459002040861,7.874613063093,7.874613063093,0.911347052681748,1
co,B_Industry,GR,40.6201364265931,42.2807212935061,43.0175422524523,43.0175422524523,0.944269112080141,1
co,B_Industry,HR,9.5363157679697,9.20326403698299,,9.20326403698298,,
co,B_Industry,HU,21.7595747729886,22.1322909255971,21.1071705600099,21.1071705600099,1.03090912688292,0.999999999999998
co,B_Industry,IE,8.90428170138069,8.9172250235024,9.59463984569473,9.59463984569473,0.928047518675356,1
co,B_Industry,IS,100.399452910216,99.9763223511991,100.6276187848,100.6276187848,0.997732572057857,1
co,B_Industry,IT,200.234459398632,167.98747161794,182.927738242212,182.927738242212,1.09460960553453,1
co,B_Industry,KG,,,,3.78787,,
co,B_Industry,KZ,296.086662839461,372.419023026192,451.4265828975,,0.655891066359045,
co,B_Industry,KZT,,,,150.77586,,
co,B_Industry,LI,0.00234306766550428,0.00209581615925842,0.00214349805811952,0.00214349805811952,1.09310463642773,0.999999999999998
co,B_Industry,LT,5.7893139676,6.0743087318,6.2031992498,6.2031992498,0.93327873802968,1
