Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncoutput,t1,tsum,tot_tres_ratio
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec01,A_PublicPower,284887.922080604,284887.922080604,284887.922080604,1
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec02,B_Industry,95797.4148025892,95797.4148025892,95797.4148025892,1
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec03,C_OtherStationaryComb,92984.8551168943,92984.8551168943,92984.8551168943,1
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec04,D_Fugitive,0,0,0,
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec05,E_Solvents,95.7744751501455,95.7744751501455,95.7744751501455,1
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec06,F_RoadTransport,426760.433303011,426760.433303011,426760.433303011,1
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec07,G_Shipping,0,0,0,
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec08,H_Aviation,0,0,0,
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec09,I_Offroad,137237.546507788,137237.546507788,137237.546507788,1
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec10,J_Waste,3985.70734884052,3985.70734884052,3985.70734884052,1
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec11,K_AgriLivestock,27371.496194696,27371.496194696,27371.496194696,1
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec12,L_AgriOther,0,0,0,
GB,27,nox,NetCDF_output,2010,2024,allISO,annual,sec13,M_Other,1968.40674438292,1968.40674438292,1968.40674438292,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec01,A_PublicPower,11922.6226881444,11922.6226881444,11922.6226881444,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec02,B_Industry,10142.8696731094,10142.8696731094,10142.8696731094,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec03,C_OtherStationaryComb,9767.15644745195,9767.15644745195,9767.15644745195,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec04,D_Fugitive,0,0,0,
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec05,E_Solvents,9.08025716767111,9.08025716767111,9.08025716767111,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec06,F_RoadTransport,42588.9316959796,42588.9316959796,42588.9316959796,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec07,G_Shipping,776.48435838833,776.48435838833,776.48435838833,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec08,H_Aviation,997.459430299361,997.459430299361,997.459430299361,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec09,I_Offroad,8080.30401618587,8080.30401618587,8080.30401618587,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec10,J_Waste,18.4095199374715,18.4095199374715,18.4095199374715,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec11,K_AgriLivestock,866.13431966758,866.13431966758,866.13431966758,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec12,L_AgriOther,30445.9001630674,30445.9001630674,30445.9001630674,1
IE,14,nox,NetCDF_output,2010,2024,allISO,annual,sec13,M_Other,0,0,0,
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec01,A_PublicPower,3.58510655473765e-05,3.58510655473765e-05,3.58510655473765e-05,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec02,B_Industry,0.69323915104178,0.69323915104178,0.69323915104178,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec03,C_OtherStationaryComb,1.49906956110499,1.49906956110499,1.49906956110499,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec04,D_Fugitive,0,0,0,
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec05,E_Solvents,5.92346755183826e-05,5.92346755183826e-05,5.92346755183826e-05,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec06,F_RoadTransport,0.181770878552925,0.181770878552925,0.181770878552925,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec07,G_Shipping,1784.11211656042,1784.11211656042,1784.11211656042,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec08,H_Aviation,0.00508524922013365,0.00508524922013365,0.00508524922013365,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec09,I_Offroad,55116.6694119695,55116.6694119695,55116.6694119695,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec10,J_Waste,0.0574154943774374,0.0574154943774374,0.0574154943774374,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec11,K_AgriLivestock,3.17349850631196,3.17349850631196,3.17349850631196,1
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec12,L_AgriOther,0,0,0,
SEA,171,nox,NetCDF_output,2010,2024,allISO,annual,sec13,M_Other,0.0149634148692712,0.0149634148692712,0.0149634148692712,1
