Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,tsum,tot_tres_ratio
uk,sox,grouped,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,231829.460578065,231829.460578065,231829.460578065,1
ie,sox,grouped,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,9783.41968658603,9783.41968658603,9783.41968658603,1
sea,sox,grouped,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ow,sox,grouped,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,4655.62161267732,4655.62161267732,4655.62161267732,1
uk,sox,grouped,2010,2024,sec02,B_Industry,3,Industry,annual,137313.490434993,137313.490434993,137313.490434993,1
ie,sox,grouped,2010,2024,sec02,B_Industry,3,Industry,annual,7394.96439728591,7394.96439728591,7394.96439728591,1
sea,sox,grouped,2010,2024,sec02,B_Industry,3,Industry,annual,0.150447764924063,0.150447764924063,0.150447764924063,1
ow,sox,grouped,2010,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
uk,sox,grouped,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,38468.3428058133,38468.3428058133,38468.3428058133,1
ie,sox,grouped,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,9639.97670293914,9639.97670293914,9639.97670293914,1
sea,sox,grouped,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.231804328092279,0.231804328092279,0.231804328092279,1
ow,sox,grouped,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,sox,grouped,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,sox,grouped,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
sea,sox,grouped,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ow,sox,grouped,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,160.3,160.3,160.3,1
uk,sox,grouped,2010,2024,sec05,E_Solvents,6,Solvents,annual,783.76925391722,783.76925391722,783.76925391722,1
ie,sox,grouped,2010,2024,sec05,E_Solvents,6,Solvents,annual,0.1377809038228,0.1377809038228,0.1377809038228,1
sea,sox,grouped,2010,2024,sec05,E_Solvents,6,Solvents,annual,0.000484746263578642,0.000484746263578642,0.000484746263578642,1
ow,sox,grouped,2010,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
uk,sox,grouped,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,478.40583592295,478.40583592295,478.40583592295,1
ie,sox,grouped,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,41.7049020030186,41.7049020030186,41.7049020030186,1
sea,sox,grouped,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,6.28567087614585e-05,6.28567087614585e-05,6.28567087614585e-05,1
ow,sox,grouped,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
uk,sox,grouped,2010,2024,sec07,G_Shipping,8,Shipping,annual,0,0,0,
ie,sox,grouped,2010,2024,sec07,G_Shipping,8,Shipping,annual,21.5119821190145,21.5119821190145,21.5119821190145,1
sea,sox,grouped,2010,2024,sec07,G_Shipping,8,Shipping,annual,49.4276356553046,49.4276356553046,49.4276356553046,1
ow,sox,grouped,2010,2024,sec07,G_Shipping,8,Shipping,annual,25.511229094003,25.511229094003,25.511229094003,1
uk,sox,grouped,2010,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
ie,sox,grouped,2010,2024,sec08,H_Aviation,8,Aviation,annual,66.3972170337439,66.3972170337439,66.3972170337439,1
sea,sox,grouped,2010,2024,sec08,H_Aviation,8,Aviation,annual,0.000322612020406811,0.000322612020406811,0.000322612020406811,1
ow,sox,grouped,2010,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
uk,sox,grouped,2010,2024,sec09,I_Offroad,8,Offroad,annual,25582.8457224083,25582.8457224083,25582.8457224083,1
ie,sox,grouped,2010,2024,sec09,I_Offroad,8,Offroad,annual,379.384489353808,379.384489353808,379.384489353808,1
sea,sox,grouped,2010,2024,sec09,I_Offroad,8,Offroad,annual,21108.313268258,21108.313268258,21108.313268258,1
ow,sox,grouped,2010,2024,sec09,I_Offroad,8,Offroad,annual,96692.1202886243,96692.1202886243,96692.1202886243,1
uk,sox,grouped,2010,2024,sec10,J_Waste,9,Waste,annual,1323.77447985545,1323.77447985545,1323.77447985545,1
ie,sox,grouped,2010,2024,sec10,J_Waste,9,Waste,annual,1.20551016745,1.20551016745,1.20551016745,1
sea,sox,grouped,2010,2024,sec10,J_Waste,9,Waste,annual,0.0528483715841108,0.0528483715841108,0.0528483715841108,1
ow,sox,grouped,2010,2024,sec10,J_Waste,9,Waste,annual,0,0,0,
uk,sox,grouped,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
ie,sox,grouped,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
sea,sox,grouped,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
ow,sox,grouped,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
uk,sox,grouped,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
ie,sox,grouped,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
sea,sox,grouped,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
ow,sox,grouped,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
uk,sox,grouped,2010,2024,sec13,M_Other,11,Other,annual,0,0,0,
ie,sox,grouped,2010,2024,sec13,M_Other,11,Other,annual,0,0,0,
sea,sox,grouped,2010,2024,sec13,M_Other,11,Other,annual,0,0,0,
ow,sox,grouped,2010,2024,sec13,M_Other,11,Other,annual,0,0,0,
