Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,sox,inventory,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,0.00867915128765162,264274.75510627,264274.763785421,236485.082190743,236485.082190743
ie,all,sox,inventory,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,2237.58610479941,,2237.58610479941,9783.41968658603,9783.41968658603
uk,all,sox,inventory,2010,2024,sec02,B_Industry,3,Industry,annual,22160.6950642615,54860.0814664052,77020.7765306666,137313.576182229,137313.576182225
ie,all,sox,inventory,2010,2024,sec02,B_Industry,3,Industry,annual,1615.28537242062,,1615.28537242062,7395.02909781883,7395.02909781884
uk,all,sox,inventory,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,38145.2262457539,775.559919604944,38920.7861653589,38468.3644095212,38468.3644095218
ie,all,sox,inventory,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,6769.21191364471,,6769.21191364471,9640.18690355892,9640.1869035588
uk,all,sox,inventory,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,0.0579120542860494,,0.0579120542860494,160.3,160.3
ie,all,sox,inventory,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,,,,0,0
uk,all,sox,inventory,2010,2024,sec05,E_Solvents,6,Solvents,annual,37.366661092018,,37.366661092018,783.769738663465,783.769738663483
ie,all,sox,inventory,2010,2024,sec05,E_Solvents,6,Solvents,annual,0.11474658106407,,0.11474658106407,0.137780903822801,0.1377809038228
uk,all,sox,inventory,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,1188.59489118245,,1188.59489118245,478.405898779651,478.405898779659
ie,all,sox,inventory,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,38.036991384582,,38.036991384582,41.7049020030187,41.7049020030186
uk,all,sox,inventory,2010,2024,sec07,G_Shipping,8,Shipping,annual,,,,0,0
ie,all,sox,inventory,2010,2024,sec07,G_Shipping,8,Shipping,annual,107.820449225822,,107.820449225822,96.4508468683215,96.4508468683213
uk,all,sox,inventory,2010,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
ie,all,sox,inventory,2010,2024,sec08,H_Aviation,8,Aviation,annual,99.7754623514569,,99.7754623514569,66.3975396457643,66.3975396457643
uk,all,sox,inventory,2010,2024,sec09,I_Offroad,8,Offroad,annual,16993.7682560794,,16993.7682560794,143365.674991886,143365.67499189
ie,all,sox,inventory,2010,2024,sec09,I_Offroad,8,Offroad,annual,2.47785770125578,,2.47785770125578,394.964367522945,394.964367522946
uk,all,sox,inventory,2010,2024,sec10,J_Waste,9,Waste,annual,144.35000602223,65.0853110000001,209.43531702223,1323.82732822702,1323.82732822704
ie,all,sox,inventory,2010,2024,sec10,J_Waste,9,Waste,annual,1.23384301459737,,1.23384301459737,1.20551016745,1.20551016745
uk,all,sox,inventory,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,,,,0,0
ie,all,sox,inventory,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,,,,0,0
uk,all,sox,inventory,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
ie,all,sox,inventory,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
uk,all,sox,inventory,2010,2024,sec13,M_Other,11,Other,annual,,,,0,0
ie,all,sox,inventory,2010,2024,sec13,M_Other,11,Other,annual,,,,0,0
