Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,nox,inventory,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,339.352059483516,344071.07,344410.422059486,336181.580933303,336181.580933271
ie,all,nox,inventory,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,5987.22882612608,,5987.22882612608,11922.6226809694,11922.6226809694
uk,all,nox,inventory,2010,2024,sec02,B_Industry,3,Industry,annual,41286.5142761008,68845.9135597047,110132.427835806,95798.0101579076,95798.0101579074
ie,all,nox,inventory,2010,2024,sec02,B_Industry,3,Industry,annual,8737.74139097949,,8737.74139097949,10142.9675058598,10142.9675058597
uk,all,nox,inventory,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,66935.2635382653,3607.36,70542.6235382653,92985.5149730327,92985.5149730328
ie,all,nox,inventory,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,7714.74270679612,,7714.74270679612,9767.995653665,9767.99565366499
uk,all,nox,inventory,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,10.9067704781664,,10.9067704781664,125.095106,125.095106
ie,all,nox,inventory,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,,,,0,0
uk,all,nox,inventory,2010,2024,sec05,E_Solvents,6,Solvents,annual,58.1412468371401,,58.1412468371401,95.7745343505,95.7745343505022
ie,all,nox,inventory,2010,2024,sec05,E_Solvents,6,Solvents,annual,6.42066557297926,,6.42066557297926,9.08025716211719,9.08025716211727
uk,all,nox,inventory,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,195328.708903425,,195328.708903425,426760.615187785,426760.615187789
ie,all,nox,inventory,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,30407.1962246243,,30407.1962246243,42588.9316859538,42588.9316859539
uk,all,nox,inventory,2010,2024,sec07,G_Shipping,8,Shipping,annual,,,,0,0
ie,all,nox,inventory,2010,2024,sec07,G_Shipping,8,Shipping,annual,6782.24829081887,,6782.24829081887,3481.43544012761,3481.43544012767
uk,all,nox,inventory,2010,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
ie,all,nox,inventory,2010,2024,sec08,H_Aviation,8,Aviation,annual,1514.15906960775,,1514.15906960775,997.464516935228,997.464516935226
uk,all,nox,inventory,2010,2024,sec09,I_Offroad,8,Offroad,annual,337424.163083444,,337424.163083444,536457.461347073,536457.461347069
ie,all,nox,inventory,2010,2024,sec09,I_Offroad,8,Offroad,annual,5032.94426463654,,5032.94426463654,9333.50646643654,9333.50646643604
uk,all,nox,inventory,2010,2024,sec10,J_Waste,9,Waste,annual,583.927979508827,380.23,964.157979508827,3985.76476157023,3985.76476157022
ie,all,nox,inventory,2010,2024,sec10,J_Waste,9,Waste,annual,13.9153049627203,,13.9153049627203,18.4095200145,18.4095200145
uk,all,nox,inventory,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,24435.9746735349,,24435.9746735349,27374.6696914343,27374.6696914354
ie,all,nox,inventory,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,966.507004485497,,966.507004485497,866.134319704437,866.134319704436
uk,all,nox,inventory,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
ie,all,nox,inventory,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,32764.1283564335,,32764.1283564335,30445.9001647,30445.9001646997
uk,all,nox,inventory,2010,2024,sec13,M_Other,11,Other,annual,1813.74208614157,,1813.74208614157,1968.42170599923,1968.4217059991
ie,all,nox,inventory,2010,2024,sec13,M_Other,11,Other,annual,,,,0,0
