Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,sec_ncdf,time_res,emis_t_tot_ncinput,emis_t_tot_array,emis_t_tot_ncfile,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,voc,NetCDF_input,2022,2024,sec01,A_PublicPower,1,PublicPower,Emis_UK_PublicPower,month,3641.8551418601,3641.85514186018,3641.85513770312,309.810094096046,311.1892396444,304.880852851764,295.544469925966,291.746505139146,292.289659405471,292.353592916027,297.512187486506,293.58804782537,295.981063559375,331.030902466123,325.928522386928,3641.85513770312,1.00000000114145
uk,voc,NetCDF_input,2022,2024,sec02,B_Industry,3,Industry,Emis_UK_Industry,month,152990.673778727,152990.673778727,152990.673854983,12277.9536005771,12555.3033681299,13079.3054713219,12727.311130008,12543.6108238464,13001.5943793033,12644.0617768972,12524.0212590058,12901.8786661199,13193.5130987268,12996.3499165,12545.7703645466,152990.673854983,0.999999999501563
uk,voc,NetCDF_input,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,Emis_UK_OtherStationaryComb,month,27521.8580686413,27521.858068641,27521.858068183,4364.63525345804,4226.40979202412,3671.22494915199,2699.44912420737,1567.62249668848,573.850446490483,195.691276375846,217.864422771902,723.951013760082,1826.63005851089,3319.78486310529,4134.74437163853,27521.858068183,1.00000000001665
uk,voc,NetCDF_input,2022,2024,sec04,D_Fugitive,5,Fugitive,Emis_UK_Fugitive,month,43380.615572554,43380.6155725541,43380.615564224,3618.70060535628,3619.39049730679,3619.19782073245,3618.01374350608,3616.04990028834,3613.65704639999,3611.60974852776,3610.24991054557,3610.29284694527,3611.88517091246,3614.54417689432,3617.02409680866,43380.615564224,1.00000000019202
uk,voc,NetCDF_input,2022,2024,sec05,E_Solvents,6,Solvents,Emis_UK_Solvents,month,290210.857436046,290210.857436046,290210.857432406,23836.8691026172,23868.803197349,24055.8856531559,24238.3097448466,24335.8235236366,24378.7393875042,24368.8585330286,24366.5818428788,24386.293812898,24331.7024424404,24111.0939884512,23931.8962035991,290210.857432406,1.00000000001254
uk,voc,NetCDF_input,2022,2024,sec06,F_RoadTransport,7,RoadTransport,Emis_UK_RoadTransport,month,30265.5845821404,30265.5845821403,30265.5845847655,2312.56610520626,2379.2669260935,2436.85557494592,2466.70170046473,2546.98444751429,2667.42416846453,2676.56709688206,2675.46689502725,2658.72498081591,2592.84798901991,2491.46818234567,2360.71051798545,30265.5845847655,0.999999999913264
uk,voc,NetCDF_input,2022,2024,sec07,G_Shipping,8,Shipping,Emis_UK_Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,voc,NetCDF_input,2022,2024,sec08,H_Aviation,8,Aviation,Emis_UK_Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,voc,NetCDF_input,2022,2024,sec09,I_Offroad,8,Offroad,Emis_UK_Offroad,month,25692.4996366661,25692.4996366662,25692.4996352819,1652.01983268339,1768.79986620646,1881.27397480225,2171.98435500295,2545.42275352647,2805.55294089924,2775.75637718564,2417.39022750763,2134.21910475198,2048.47745654367,1833.3681357417,1658.23461043052,25692.4996352819,1.00000000005387
uk,voc,NetCDF_input,2022,2024,sec10,J_Waste,9,Waste,Emis_UK_Waste,month,22361.737789602,22361.7377896018,22361.737794089,1863.46070925494,1863.46209797783,1863.4674066344,1863.47684584046,1863.48633004721,1863.49315086324,1863.49558426138,1863.49355843423,1863.48802657645,1863.48013153693,1863.47038668435,1863.46356597754,22361.737794089,0.999999999799343
