Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,t,emis_t_ncfile
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,3671.55076526234
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,3693.45074196027
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,3478.91046175924
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,3178.40364380519
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,3037.56519466238
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,3012.08519211951
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,2978.59209582791
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,3187.65390563325
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,3178.69739827357
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,3199.3724140022
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,3975.9352415575
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,3948.45649566344
uk,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,40540.6735505253
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,1124.97080637654
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,1136.90585967852
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,1018.3086298313
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,852.197217263281
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,790.885879925918
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,802.818735488225
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,777.055230112281
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,870.170356638264
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,874.062853272073
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,888.820467158686
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,1251.97662534611
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,1244.23153600283
ie,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,11632.404197094
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,0.00172046135048731
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,0.00173072347570269
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,0.00163019150841137
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,0.00148937626272527
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,0.0014233804477044
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,0.00141144066401466
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,0.00139574604691006
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,0.00149371089537453
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,0.00148951394021424
sea,co,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,0.00149920206149545
