Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,nh3,inventory,2022,2024,sec01,A_PublicPower,1,PublicPower,month,,164.52,164.52,339.230597978879,339.230597978879
ie,all,nh3,inventory,2022,2024,sec01,A_PublicPower,1,PublicPower,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec02,B_Industry,3,Industry,month,80.3635297492882,2353.2893708784,2433.65290062765,2431.63416260203,2431.63416260205
ie,all,nh3,inventory,2022,2024,sec02,B_Industry,3,Industry,month,132.329824419772,,132.329824419772,107.979997085182,107.979997085181
uk,all,nh3,inventory,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,614.300203425393,4.42247319353447,618.722676618928,615.277720106819,615.277720106817
ie,all,nh3,inventory,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,78.7056407286231,,78.7056407286231,90.3891501849156,90.3891501849168
uk,all,nh3,inventory,2022,2024,sec04,D_Fugitive,5,Fugitive,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec04,D_Fugitive,5,Fugitive,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec05,E_Solvents,6,Solvents,month,1336.58933326283,,1336.58933326283,1336.58924373889,1336.58924373891
ie,all,nh3,inventory,2022,2024,sec05,E_Solvents,6,Solvents,month,14.7804249483049,,14.7804249483049,11.9599888745,11.9599888745
uk,all,nh3,inventory,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,4585.23889586327,,4585.23889586327,4586.3482279937,4586.34822799376
ie,all,nh3,inventory,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,552.755764583273,,552.755764583273,508.339216519311,508.339216519316
uk,all,nh3,inventory,2022,2024,sec07,G_Shipping,8,Shipping,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec07,G_Shipping,8,Shipping,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec08,H_Aviation,8,Aviation,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec08,H_Aviation,8,Aviation,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec09,I_Offroad,8,Offroad,month,78.6352513099634,,78.6352513099634,75.8108979839468,75.8108979839409
ie,all,nh3,inventory,2022,2024,sec09,I_Offroad,8,Offroad,month,1.48848268609901,,1.48848268609901,2.05411908210233,2.05411908210231
uk,all,nh3,inventory,2022,2024,sec10,J_Waste,9,Waste,month,6163.84203754938,,6163.84203754938,6861.45157730335,6861.4515773036
ie,all,nh3,inventory,2022,2024,sec10,J_Waste,9,Waste,month,37.8007934235529,,37.8007934235529,117.96024054121,117.960240541209
uk,all,nh3,inventory,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,231119.43468951,,231119.43468951,226563.487545401,226563.487545404
ie,all,nh3,inventory,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,59333.2788829757,,59333.2788829757,61379.7582939711,61379.7582939717
uk,all,nh3,inventory,2022,2024,sec12,L_AgriOther,10,AgriOther,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec12,L_AgriOther,10,AgriOther,month,65176.4421701571,,65176.4421701571,66433.9977396051,66433.9977396042
uk,all,nh3,inventory,2022,2024,sec13,M_Other,11,Other,month,21710.5093425846,,21710.5093425846,25586.3472778544,25586.3472778541
ie,all,nh3,inventory,2022,2024,sec13,M_Other,11,Other,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec14,"",1,PublicPower_Point,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec14,"",1,PublicPower_Point,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec15,"",1,PublicPower_Area,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec15,"",1,PublicPower_Area,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec16,"",7,RoadTransportExhaustGasoline,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec16,"",7,RoadTransportExhaustGasoline,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec17,"",7,RoadTransportExhaustDiesel,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec17,"",7,RoadTransportExhaustDiesel,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec18,"",7,RoadTransportExhaustLPGgas,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec18,"",7,RoadTransportExhaustLPGgas,month,,,,0,0
uk,all,nh3,inventory,2022,2024,sec19,"",7,RoadTransportNonExhaustOther,month,,,,0,0
ie,all,nh3,inventory,2022,2024,sec19,"",7,RoadTransportNonExhaustOther,month,,,,0,0
