Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,nox,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,82544.7197837065,7430.92065865508,7410.4823366648,7026.11178005424,6465.57159311907,6230.70987192863,6274.54295303608,6241.64503328073,6518.26309272229,6452.68397223517,6554.08523002441,7982.93406842452,7956.76919356152,82544.7197837065,1
ie,nox,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7476.3021168652,713.510238407239,710.936500141925,651.614858216209,557.891093569616,512.527177047029,513.071615038085,507.971860967923,571.022114085322,561.065188238022,562.820705283111,808.302639581086,805.568126289633,7476.3021168652,1
sea,nox,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3.69536738336016e-05,3.32667939297477e-06,3.31752955169426e-06,3.1454542909455e-06,2.89451129552513e-06,2.78936824744667e-06,2.80899146970248e-06,2.79426370759227e-06,2.91810026033441e-06,2.88874175702713e-06,2.93413713805772e-06,3.57380511524779e-06,3.56209160705352e-06,3.69536738336016e-05,1
ow,nox,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,39624.907602326,3567.15178476585,3557.34053793425,3372.82664254949,3103.74397835328,2991.00055847313,3012.04226523949,2996.24989191732,3129.0380953932,3097.55738291704,3146.23421507746,3832.14124035612,3819.5810093494,39624.907602326,1
uk,nox,grouped,2022,2024,sec02,B_Industry,3,Industry,month,85086.5427275821,6740.40728013165,6957.67243536134,7372.56981632987,7057.96458205557,6899.58271032595,7286.21351038824,6987.29983452223,6899.28240708983,7204.85118073612,7428.65962071697,7297.13568903449,6954.90366088985,85086.5427275821,1
ie,nox,grouped,2022,2024,sec02,B_Industry,3,Industry,month,8598.73896445594,696.461024645626,709.010912002802,732.108451695061,713.77247252404,705.757041211596,729.194805468762,711.276405052822,705.712786726555,724.406015315968,737.430959063497,726.568610633372,707.03948011584,8598.73896445594,1
sea,nox,grouped,2022,2024,sec02,B_Industry,3,Industry,month,0.731644344273805,0.0581070161836905,0.0598845045297126,0.063270485952534,0.0606950630381529,0.0594102409386978,0.062583999467542,0.060132237133855,0.0594075245438087,0.0619174994246458,0.0637494562479651,0.062641937930524,0.0598443788826766,0.731644344273805,1
ow,nox,grouped,2022,2024,sec02,B_Industry,3,Industry,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nox,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,70340.6348600899,11038.780925924,10650.4277160683,9254.75418887163,6841.2441669976,4044.57350456647,1600.9651951456,670.651009370224,702.70262895346,1971.59246007725,4732.90147510179,8388.78518844886,10443.2564005647,70340.6348600899,1
ie,nox,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,7022.29973006559,1100.07902306042,1064.61485506706,922.794915273706,683.341545991012,404.618197750696,158.707317607014,71.4546457756534,74.2636019630453,196.710320279159,471.179056266773,835.631609131094,1038.90464189996,7022.29973006559,1
sea,nox,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,1.10309177900748,0.1729439230497,0.167137786888013,0.145037036792312,0.107316397863188,0.0634995120768464,0.025010205355977,0.0109040367029168,0.0113730927400707,0.030908550088592,0.0741086513725632,0.131395678582779,0.163456907494522,1.10309177900748,1
ow,nox,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nox,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,nox,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sea,nox,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ow,nox,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,11.3,0.999525870208189,0.974092975073623,0.987503116144855,0.988497432830487,0.956668455203794,0.922286304404688,0.908047288873059,0.851562072045733,0.863903129808553,0.939886040254804,0.933541652313147,0.974485662839072,11.3,1
uk,nox,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,58.1412098723382,4.84744678453372,4.84674961079032,4.84589931448527,4.84473568729401,4.84334971961292,4.84213842544803,4.84206628424677,4.84307523595925,4.84462731159506,4.84612402059699,4.84729607561747,4.84770140215834,58.1412098723382,1
ie,nox,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,5.19872778782001,0.433648926598093,0.433451490030017,0.433248919547689,0.43305286018271,0.432880429121358,0.432743638206433,0.432744822563561,0.432915029110092,0.433190843340603,0.433461023906911,0.433661321783222,0.433728483429324,5.19872778782001,1
sea,nox,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,3.59592233427791e-05,2.9980528776408e-06,2.9976216890501e-06,2.99709579709146e-06,2.9963761159884e-06,2.995518921556e-06,2.99476975934378e-06,2.99472514139427e-06,2.99534915867989e-06,2.99630908769687e-06,2.99723477351242e-06,2.9979596670663e-06,2.99821035375884e-06,3.59592233427791e-05,1
ow,nox,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nox,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,195427.871709434,15197.6803969539,15716.9019382979,15907.2551687538,15730.5169076154,16083.8007051408,16901.4624565636,16849.2706041685,16858.0225587814,17034.0081805721,16997.1232124961,16568.7806545791,15583.0489255119,195427.871709434,1
ie,nox,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,25166.6168518616,1956.91222763229,2023.74993005262,2049.12649927917,2026.02279555195,2070.83799755411,2176.10721077987,2169.05446768092,2171.09606970758,2194.61789964831,2189.34028853795,2133.29040521111,2006.46106022573,25166.6168518616,1
sea,nox,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0.0832389624598369,0.00647317671206843,0.00669432972371542,0.00677540723464284,0.00670012877330854,0.0068506036083598,0.00719887182228539,0.00717664164803108,0.00718036938458742,0.00725532727282309,0.00723961678871348,0.0070571720341014,0.00663731745720004,0.0832389624598369,1
ow,nox,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nox,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,nox,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,1176.81214210143,80.76899681319,87.8433249370657,94.4870196353556,108.664180937238,128.753290859952,138.373784773122,119.601697591685,103.185238224146,92.8174628837883,80.1956354897261,69.8396012216526,72.2819087345051,1176.81214210143,1
sea,nox,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,2703.93702347001,185.581260609469,201.835798649968,217.100879137056,249.675450693917,295.83378484534,317.93859558382,274.806357462066,237.086596856169,213.26477297207,184.263860104432,160.469013440325,166.080653115375,2703.93702347001,1
