Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,t,emis_t_ncfile
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,172.101630380208
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,164.438330686995
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,161.943704201467
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,156.700477860035
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,151.797092315858
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,148.671371081034
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,147.197709535664
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,158.529083632023
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,153.964885463839
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,153.513968581812
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,204.088141904544
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,200.697542057919
uk,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,1973.6439377014
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,39.2293142491399
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,36.432259270121
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,35.5862470668653
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,33.0964789480495
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,31.2568296171958
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,30.4876535520016
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,29.0524474558333
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,33.7677092164377
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,32.6265859826235
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,32.1886245756614
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,51.6068036951474
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,50.2561996931618
ie,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,435.587153322238
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,0.00372749474990997
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,0.0035615177694126
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,0.00350748747587204
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,0.00339392604291788
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,0.00328772515786113
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,0.00322002615212114
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,0.00318810865064734
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,0.00343353128118906
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,0.00333467677410226
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,0.00332491046719952
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,0.00442028046745691
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,0.00434684453648515
sea,pm25,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,0.042746529525175
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,1,1215.85961931932
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,2,1260.16466904919
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,3,1349.51382834367
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,4,1287.0054634637
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,5,1257.60834616752
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,6,1342.90809207695
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,7,1283.11426789381
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,8,1266.85360945957
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,9,1332.4984025518
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,10,1378.63391385412
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,11,1345.65164020489
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,12,1266.46186966214
uk,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,annual,1,15586.2737220467
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,1,189.850747598958
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,2,194.926887220927
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,3,202.641756534873
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,4,196.938494199684
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,5,193.623306700885
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,6,199.502135960366
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,7,192.686674170313
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,8,189.210177705972
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,9,195.554663675898
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,10,201.601868830623
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,11,197.556040774341
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,12,191.755992248423
ie,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,annual,1,2345.84874562126
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,1,0.232228966118061
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,2,0.240674826110734
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,3,0.257684995190346
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,4,0.245782014543316
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,5,0.240178519267054
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,6,0.256404535259762
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,7,0.245006363962389
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,8,0.241892234268668
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,9,0.25439562434326
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,10,0.263197208540724
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,11,0.256907413094766
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,12,0.24184062347247
sea,pm25,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,annual,1,2.97619332417155
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,1,3281.13932295708
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,2,3175.0749648548
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,3,2752.88816042693
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,4,2022.54854678135
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,5,1171.06786943725
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,6,426.140193917411
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,7,157.068849190792
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,8,160.294742539061
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,9,533.719763189042
uk,pm25,NetCDF_output,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,10,1378.79379783632
