Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,nh3,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,339.230597978879,28.8592319647747,26.9189287901286,27.985835073532,27.7097957423107,26.4362201769749,25.6688622739412,25.2929638666227,28.4737587825713,28.9699775601735,27.5955512631341,32.6110395272846,32.7084329574308,339.230597978879,1
ie,nh3,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sea,nh3,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ow,nh3,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nh3,grouped,2022,2024,sec02,B_Industry,3,Industry,month,2431.63278260865,194.85865278512,200.512412440549,213.827308994459,201.394009987036,194.497759527271,207.387153584719,196.939741786418,193.464636133087,204.179752649266,213.039229225854,210.191419921558,201.340705573307,2431.63278260865,1
ie,nh3,grouped,2022,2024,sec02,B_Industry,3,Industry,month,107.977622712616,8.48599919412705,8.7423060310646,9.37397779886053,9.06098337989008,8.78830291039403,9.18330853795311,8.91863832612865,8.80674182129714,9.12909673226729,9.41969504297314,9.25793759714268,8.81063534051805,107.977622712616,1
sea,nh3,grouped,2022,2024,sec02,B_Industry,3,Industry,month,0.00375436600122399,0.000297188409304306,0.000306033071111803,0.000327479642291936,0.000313540944406851,0.000303631099907697,0.000319632024011286,0.000307882975821063,0.000303450246806089,0.000316619678989479,0.000328037692225578,0.000322864548150242,0.000308005668197657,0.00375436600122399,1
ow,nh3,grouped,2022,2024,sec02,B_Industry,3,Industry,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nh3,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,615.277131238899,99.5493440597379,96.4543006637143,83.2354042416417,60.5499269199722,34.3480613928857,11.388534780853,2.86752383200228,3.17556611842234,14.6993461284895,40.3214489808332,74.8245298624017,93.8631442579457,615.277131238899,1
ie,nh3,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,90.3821889427565,14.6590237949344,14.0935133504001,12.1731188746306,8.91121523773847,5.04650684461287,1.61878896313072,0.431583519001557,0.482042277927133,2.18823903455739,5.98251602799414,10.9733769734434,13.8222640443857,90.3821889427565,1
sea,nh3,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0.00755011007795112,0.00122431542104574,0.00117779757277637,0.00101723715469861,0.000744293360576523,0.000421556048185302,0.000135578943579209,3.59850337600617e-05,4.01661910551783e-05,0.000182606728830649,0.000499364532337798,0.000916783095365465,0.00115442599574021,0.00755011007795112,1
ow,nh3,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nh3,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,nh3,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sea,nh3,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ow,nh3,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nh3,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,1336.4154009276,111.536894385086,111.394081600155,111.274036880981,111.199776005653,111.184137816308,111.20109655399,111.238471860814,111.315015383598,111.406747838042,111.491151514281,111.572490677609,111.601500411086,1336.4154009276,1
ie,nh3,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,11.9599888745,0.997787063488036,0.997343645490674,0.996712109243675,0.995998105569655,0.995479354005256,0.995260625796243,0.995459879369475,0.996092043479437,0.99680486218926,0.99734300082976,0.997778762091673,0.997929422946857,11.9599888745,1
sea,nh3,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,0.173842811277743,0.0145088774550441,0.0144903001653764,0.0144746845780036,0.0144650246179895,0.0144629903801342,0.0144651963967907,0.0144700582297252,0.0144800151197585,0.0144919478075702,0.0145029271575158,0.0145135078712748,0.0145172814985603,0.173842811277743,1
ow,nh3,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nh3,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,4586.34658006744,354.368891497695,363.635184738794,369.508624780103,369.942293558345,378.56068578481,396.750737271812,403.867545443161,407.020292845724,404.111014256022,394.412446691346,381.810870600234,362.357992599391,4586.34658006744,1
ie,nh3,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,508.339216519309,39.2924594592049,40.3057613868172,40.9825616103876,41.0203698916646,41.9543886007873,43.9694809763173,44.7352571007632,45.0770228270279,44.7973435739369,43.7509676023167,42.2971506272807,40.1564528628048,508.339216519309,1
sea,nh3,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0.00164792625931567,0.000127328755380507,0.000130658239468102,0.000132768632982335,0.000132924455084967,0.000136021141001548,0.0001425570324743,0.000145114182236826,0.000146247000078429,0.000145201663338188,0.00014171685819131,0.000137188969208915,0.000130199329870246,0.00164792625931567,1
ow,nh3,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nh3,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,nh3,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sea,nh3,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ow,nh3,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nh3,grouped,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,nh3,grouped,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sea,nh3,grouped,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ow,nh3,grouped,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,nh3,grouped,2022,2024,sec09,I_Offroad,8,Offroad,month,36.9105845511756,2.63332264546964,2.76597445254558,2.95579873557525,3.21437939559834,3.51470549457963,3.70524955067717,3.52692940820077,3.23838294513548,3.06166239513805,2.94589462928068,2.73407675042299,2.61420814855203,36.9105845511756,1
ie,nh3,grouped,2022,2024,sec09,I_Offroad,8,Offroad,month,2.05411908210234,0.155399748090396,0.159455706086327,0.166669237606719,0.172773362308696,0.177074184011298,0.180034939596652,0.178104442752893,0.172630764555501,0.176059476950532,0.182818378086844,0.17280370334622,0.160295138710263,2.05411908210234,1
sea,nh3,grouped,2022,2024,sec09,I_Offroad,8,Offroad,month,5.53402603132837,0.394815640177977,0.414704204999888,0.443164673357074,0.481933826464998,0.526961898218916,0.555530282582898,0.528794636903653,0.485532693012231,0.459036875190697,0.441679744773118,0.409921763431098,0.391949792215825,5.53402603132837,1
