Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,terrestrial,sox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,26166.9885271041,2586.02773485678,2663.37242387684,2344.58555493707,1984.0720883075,1853.49482250064,1847.06922562043,1827.78769066338,1975.62230808213,2018.11644662105,2043.51983783933,2469.06634604363,2554.25404775532,26166.9885271041,1
uk,sea,sox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,outwith,sox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1476.75894977607,145.944941194253,150.309962473247,132.318921536677,111.973000269943,104.603747758602,104.241113071364,103.152941259626,111.496128865404,113.894326095298,115.327990702802,139.344113684845,144.151762864012,1476.75894977607,1
ie,terrestrial,sox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1855.66713665774,229.962649653355,244.30305959768,185.695908416233,116.703145707541,91.6833718424054,93.5448768856378,91.407873979262,115.616225129365,123.7785492038,131.977936513139,207.862219059802,223.13132066952,1855.66713665774,1
ie,sea,sox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,outwith,sox,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,sox,masked,2022,2024,sec02,B_Industry,3,Industry,month,44512.5684506924,3500.71931162772,3627.57155912186,3882.4104012806,3693.27144401135,3596.15611958882,3827.14450978244,3638.65833235809,3590.3444728787,3777.5720428497,3908.16315870046,3836.27785433899,3634.27924415356,44512.5684506923,1
uk,sea,sox,masked,2022,2024,sec02,B_Industry,3,Industry,month,0.0453702593531534,0.00356817295921895,0.00369746946060408,0.00395721866772529,0.00376443528442995,0.00366544869233747,0.00390088788480425,0.00370876985944929,0.00365952506385042,0.00385036023026097,0.00398346764242762,0.00391019721530839,0.0037043063927367,0.0453702593531534,1
uk,outwith,sox,masked,2022,2024,sec02,B_Industry,3,Industry,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,sox,masked,2022,2024,sec02,B_Industry,3,Industry,month,1772.0874928773,142.470797374294,145.982756677986,152.60647850783,147.408873386529,144.782496164383,150.892725410503,145.702600775126,144.178833082854,149.166590478049,152.727631859582,150.621866838825,145.545842321349,1772.08749287731,0.999999999999996
ie,sea,sox,masked,2022,2024,sec02,B_Industry,3,Industry,month,0.0155044702078605,0.00124651533417984,0.00127724241092642,0.00133519513515068,0.00128971988966796,0.00126674100879499,0.0013202010482628,0.00127479125156387,0.0012614593980953,0.00130509862936839,0.00133625513841822,0.00131783123375196,0.0012734197296801,0.0155044702078605,1
ie,outwith,sox,masked,2022,2024,sec02,B_Industry,3,Industry,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,sox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,38421.2807462393,6191.25608460702,5986.22971663873,5184.91079585465,3785.87626594553,2138.6341907262,694.383091327937,189.087661780437,231.219326747761,947.098266974896,2532.33132474504,4681.04855740359,5859.20546348857,38421.2807462404,0.999999999999973
uk,sea,sox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0.0218578974249351,0.00352221055103917,0.0034055708859,0.00294969990932228,0.00215378804343037,0.00121667070598438,0.00039503509745288,0.000107572122408281,0.000131540860391791,0.000538804963520046,0.00144064532121679,0.00266305227784157,0.00333330668642753,0.0218578974249351,1
uk,outwith,sox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,sox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,5578.69161460408,897.323797176594,867.169264949321,751.469556844002,548.750339975568,311.803620841747,105.643155053199,31.3326661527711,32.5441115518608,135.284175021395,368.257900322174,679.468002578441,849.645024137104,5578.69161460418,0.999999999999982
ie,sea,sox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0.12164390749556,0.0195662317471654,0.0189087092701704,0.0163858660011174,0.0119655539695722,0.0067989079574074,0.00230355916200655,0.000683211800612767,0.000709627484117645,0.00294988445477705,0.00802989895408995,0.0148158651816263,0.0185265915128969,0.12164390749556,1
ie,outwith,sox,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
