Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,t,emis_t_ncfile
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,309.810094096046
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,311.1892396444
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,304.880852851764
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,295.544469925966
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,291.746505139146
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,292.289659405471
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,292.353592916027
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,297.512187486506
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,293.58804782537
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,295.981063559375
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,331.030902466123
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,325.928522386928
uk,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,3641.85513770312
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,27.9937006173423
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,28.2864585257194
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,26.5863107264595
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,24.5260294665495
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,23.8205485174694
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,23.9204911169654
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,24.083749728612
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,25.525579561363
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,24.510877398192
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,24.6548869787512
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,32.610101593018
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,31.5453656810714
ie,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,318.064099911513
sea,voc,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,0.00101583813921025
