Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,t,emis_t_ncfile
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,2586.027732903
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,2663.37240592438
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,2344.58554156823
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,1984.07208770756
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,1853.49481254669
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,1847.0692298522
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,1827.78768895666
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,1975.62231103942
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,2018.11644971032
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,2043.51984522495
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,2469.06635949697
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,2554.25404340204
uk,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,26166.9885083324
ie,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,229.962652350732
ie,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,244.303056715158
ie,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,185.695905282271
ie,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,116.703142422535
ie,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,91.6833708899503
ie,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,93.5448791287272
ie,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,91.4078753942886
ie,sox,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,115.616225267186
