Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,sox,inventory,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0.00867915128765162,28302.6743291227,28302.683008274,27643.7474768802,27643.7474768801
ie,all,sox,inventory,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2237.58610479941,,2237.58610479941,1855.66713665774,1855.66713665774
uk,all,sox,inventory,2022,2024,sec02,B_Industry,3,Industry,month,22160.6950642615,25026.7387373874,47187.4338016488,44512.6138209516,44512.6138209517
ie,all,sox,inventory,2022,2024,sec02,B_Industry,3,Industry,month,1615.28537242062,,1615.28537242062,1772.10299734752,1772.10299734751
uk,all,sox,inventory,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,38145.2262457539,275.882281663909,38421.1085274177,38421.3026041375,38421.3026041367
ie,all,sox,inventory,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,6769.21191364471,,6769.21191364471,5578.81325851164,5578.81325851158
uk,all,sox,inventory,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0.0579120542860494,,0.0579120542860494,0.0600000000000001,0.0600000000000001
ie,all,sox,inventory,2022,2024,sec04,D_Fugitive,5,Fugitive,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec05,E_Solvents,6,Solvents,month,37.366661092018,,37.366661092018,813.554733084004,813.554733083999
ie,all,sox,inventory,2022,2024,sec05,E_Solvents,6,Solvents,month,0.11474658106407,,0.11474658106407,0.13082098514,0.130820985139999
uk,all,sox,inventory,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,1188.59489118245,,1188.59489118245,412.689059326723,412.689059326724
ie,all,sox,inventory,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,38.036991384582,,38.036991384582,43.2925338126076,43.2925338126075
uk,all,sox,inventory,2022,2024,sec07,G_Shipping,8,Shipping,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec07,G_Shipping,8,Shipping,month,107.820449225822,,107.820449225822,118.955327534245,118.955327534243
uk,all,sox,inventory,2022,2024,sec08,H_Aviation,8,Aviation,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec08,H_Aviation,8,Aviation,month,99.7754623514569,,99.7754623514569,81.765508156,81.7655081559998
uk,all,sox,inventory,2022,2024,sec09,I_Offroad,8,Offroad,month,16993.7682560794,,16993.7682560794,27293.4007958986,27293.4007958987
ie,all,sox,inventory,2022,2024,sec09,I_Offroad,8,Offroad,month,2.47785770125578,,2.47785770125578,3.4087517157178,3.40875171571791
uk,all,sox,inventory,2022,2024,sec10,J_Waste,9,Waste,month,144.35000602223,57.7341200362192,202.084126058449,773.362463629058,773.362463629067
ie,all,sox,inventory,2022,2024,sec10,J_Waste,9,Waste,month,1.23384301459737,,1.23384301459737,1.642474944,1.642474944
uk,all,sox,inventory,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec12,L_AgriOther,10,AgriOther,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec12,L_AgriOther,10,AgriOther,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec13,M_Other,11,Other,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec13,M_Other,11,Other,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec14,"",1,PublicPower_Point,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec14,"",1,PublicPower_Point,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec15,"",1,PublicPower_Area,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec15,"",1,PublicPower_Area,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec16,"",7,RoadTransportExhaustGasoline,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec16,"",7,RoadTransportExhaustGasoline,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec17,"",7,RoadTransportExhaustDiesel,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec17,"",7,RoadTransportExhaustDiesel,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec18,"",7,RoadTransportExhaustLPGgas,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec18,"",7,RoadTransportExhaustLPGgas,month,,,,0,0
uk,all,sox,inventory,2022,2024,sec19,"",7,RoadTransportNonExhaustOther,month,,,,0,0
ie,all,sox,inventory,2022,2024,sec19,"",7,RoadTransportNonExhaustOther,month,,,,0,0
