Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,sec_ncdf,time_res,emis_t_tot_ncinput,emis_t_tot_array,emis_t_tot_ncfile,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,pmco,NetCDF_input,2022,2024,sec01,A_PublicPower,1,PublicPower,Emis_UK_PublicPower,month,377.995619180708,377.995619180713,377.995619212399,33.4917006508377,32.7425050825883,31.5000767737288,29.5149973419086,28.5251735825691,28.362386038921,27.932617420196,30.3530423455639,29.7261536415716,29.3019471869845,38.5246432935848,38.0203758539447,377.995619212399,0.999999999916161
uk,pmco,NetCDF_input,2022,2024,sec02,B_Industry,3,Industry,Emis_UK_Industry,month,37518.2351046346,37518.2351046348,37518.2351024936,2930.1831117207,3038.98513525377,3248.0499520836,3102.25566837787,3032.1334233495,3227.59827402685,3086.37977078435,3044.31072748599,3200.81804080121,3318.00099317091,3240.47839967409,3049.04160576473,37518.2351024936,1.00000000005707
uk,pmco,NetCDF_input,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,Emis_UK_OtherStationaryComb,month,585.290001385551,585.290001385552,585.290001431379,93.3382766829516,90.1198430061271,78.1032247946586,57.1782025312758,32.8922067645212,11.8875162652395,4.38572144782099,4.84554913839376,15.2635890657012,38.5853836641193,70.4458696311592,88.2446184394106,585.290001431379,0.999999999921701
uk,pmco,NetCDF_input,2022,2024,sec04,D_Fugitive,5,Fugitive,Emis_UK_Fugitive,month,26.5822924957192,26.5822924957192,26.5822924426757,2.34130379161797,2.30586455622688,2.36503981472924,2.36085332883522,2.26407116069458,2.17442441359162,2.12782746856101,1.95602009235881,1.99576030718163,2.22387604322284,2.19273749436252,2.27451397129335,26.5822924426757,1.00000000199545
uk,pmco,NetCDF_input,2022,2024,sec05,E_Solvents,6,Solvents,Emis_UK_Solvents,month,1032.2628226661,1032.2628226661,1032.2628223596,84.3098913869721,84.5992827597775,85.3853572911878,86.1692890604724,86.6855249733537,86.9610403497252,86.9020432385086,86.9431190728932,87.0605688441149,86.7657739098062,85.7276998025885,84.7532316702018,1032.2628223596,1.00000000029692
uk,pmco,NetCDF_input,2022,2024,sec06,F_RoadTransport,7,RoadTransport,Emis_UK_RoadTransport,month,24076.0830699522,24076.0830699524,24076.0830713241,1879.50273668837,1940.16745574579,1963.05737396778,1943.21365750131,1985.40132928671,2080.55709761789,2070.98689292943,2070.08872032541,2091.2648727176,2088.22766374187,2039.12762231824,1924.48764848371,24076.0830713241,0.999999999943018
uk,pmco,NetCDF_input,2022,2024,sec07,G_Shipping,8,Shipping,Emis_UK_Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,pmco,NetCDF_input,2022,2024,sec08,H_Aviation,8,Aviation,Emis_UK_Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,pmco,NetCDF_input,2022,2024,sec09,I_Offroad,8,Offroad,Emis_UK_Offroad,month,118.928868398864,118.928868398864,118.928868474428,8.12342678349782,8.82079292023981,9.57919149212849,10.6953197127599,11.8643387265191,12.365111994931,11.520812565416,10.5405743576021,10.0019380367869,9.39601772035561,8.23358395487349,7.7877602093174,118.928868474428,0.999999999364632
uk,pmco,NetCDF_input,2022,2024,sec10,J_Waste,9,Waste,Emis_UK_Waste,month,379.94272334144,379.942723341438,379.942723337293,31.6526809157089,31.6590311469332,31.6669213800098,31.6747834297814,31.677690786242,31.6745650594913,31.668222827272,31.6611856737512,31.6554489163647,31.6518653087793,31.6502141344238,31.6501137585355,379.942723337293,1.00000000001092
uk,pmco,NetCDF_input,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,Emis_UK_AgriLivestock,month,12820.155630613,12820.155630613,12820.1556311575,704.249613400316,1059.16866125496,2260.13108246178,2567.14431089524,1616.40075306801,650.820488132733,656.161275761142,564.211077898242,506.188982778063,712.460692471464,745.645032735585,777.573660299929,12820.1556311575,0.999999999957534
uk,pmco,NetCDF_input,2022,2024,sec12,L_AgriOther,10,AgriOther,Emis_UK_AgriOther,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
