Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,voc,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3641.8551418601,309.810094238286,311.189240689093,304.880855484385,295.544470710627,291.74650676132,292.289658429473,292.353595189683,297.512187719404,293.588046417397,295.981062391677,331.030901545058,325.928522283702,3641.8551418601,1
ie,voc,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,318.064098504807,27.993700269194,28.2864586560742,26.5863101975704,24.526029661302,23.8205486070258,23.9204910565156,24.0837497595538,25.5255789914094,24.5108771423108,24.6548864923806,32.6101020796397,31.5453655918308,318.064098504807,1
sea,voc,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0.0119413001700837,0.00101583813383965,0.00102036022522054,0.000999675623998425,0.000969062497241851,0.00095660933098805,0.000958390274176338,0.000958599916794072,0.000975514456075046,0.000962647566159867,0.000970494040263781,0.00108541916329594,0.00106868894203013,0.0119413001700837,1
ow,voc,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,voc,grouped,2022,2024,sec02,B_Industry,3,Industry,month,152990.673778727,12277.9535506615,12555.3033592769,13079.3054324953,12727.3111260469,12543.6108274185,13001.5944431796,12644.0618023006,12524.021256448,12901.8785902637,13193.5131549741,12996.3498717872,12545.7703638743,152990.673778727,1
ie,voc,grouped,2022,2024,sec02,B_Industry,3,Industry,month,34004.1470100703,2670.33807670234,2627.08819724899,2869.22243775501,2839.16033517011,2759.02522428235,2869.28831252908,2821.11152506574,2810.03582347231,2878.03504722593,2958.33169687506,3010.55873751661,2891.95159622676,34004.1470100703,1
sea,voc,grouped,2022,2024,sec02,B_Industry,3,Industry,month,340.932561962176,27.3605401826655,27.9780550294146,29.1464235536242,28.3622715614755,27.9526993563659,28.9733385354075,28.1767567030182,27.9093332215956,28.7512873816531,29.4012619670693,28.962392980833,27.9582014890531,340.932561962176,1
ow,voc,grouped,2022,2024,sec02,B_Industry,3,Industry,month,779.054369745965,62.5214147302538,63.933726834081,66.6020339590423,64.8096194556498,63.8741864855546,66.2063164665436,64.385699828131,63.7744330790966,65.6985464892737,67.1835989855767,66.1796102225634,63.8851832101984,779.054369745965,1
uk,voc,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,27521.8580686413,4364.63525281922,4226.40979048274,3671.22495046906,2699.44912374038,1567.62249686714,573.850446429564,195.691276384368,217.864422769948,723.951013684687,1826.6300579907,3319.78486425383,4134.74437274965,27521.8580686413,1
ie,voc,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,7994.54254205157,1274.9330928462,1224.52177344529,1063.02279686158,784.453015958963,453.157580691096,160.920676188867,59.2708999977845,63.4350455837629,208.69320150083,533.143986345032,962.541231122878,1206.44924150928,7994.54254205157,1
