Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,sec_ncdf,time_res,emis_t_tot_ncinput,emis_t_tot_array,emis_t_tot_ncfile,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,sox,NetCDF_input,2022,2024,sec01,A_PublicPower,1,PublicPower,Emis_UK_PublicPower,month,26166.9885271041,26166.9885271041,26166.9885083324,2586.027732903,2663.37240592438,2344.58554156823,1984.07208770756,1853.49481254669,1847.0692298522,1827.78768895666,1975.62231103942,2018.11644971032,2043.51984522495,2469.06635949697,2554.25404340204,26166.9885083324,1.00000000071738
uk,sox,NetCDF_input,2022,2024,sec02,B_Industry,3,Industry,Emis_UK_Industry,month,44512.5684506923,44512.5684506923,44512.5684811864,3500.71931567466,3627.57155247355,3882.41040722304,3693.27146664495,3596.1561221284,3827.14454167664,3638.65832575611,3590.34445383992,3777.57205251753,3908.16314515475,3836.27786407779,3634.27923401905,44512.5684811864,0.999999999314933
uk,sox,NetCDF_input,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,Emis_UK_OtherStationaryComb,month,38421.2807462404,38421.2807462402,38421.2807430773,6191.25608153579,5986.22971410184,5184.910797763,3785.87626650715,2138.63419064103,694.383091277606,189.087661761827,231.219326730025,947.098266912229,2532.33132492851,4681.04855723943,5859.20546367888,38421.2807430773,1.00000000008233
uk,sox,NetCDF_input,2022,2024,sec04,D_Fugitive,5,Fugitive,Emis_UK_Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,sox,NetCDF_input,2022,2024,sec05,E_Solvents,6,Solvents,Emis_UK_Solvents,month,813.554229916304,813.554229916304,813.554229885511,67.8718161414457,67.834020564732,67.7942455082016,67.7537858853844,67.7278785166632,67.7205930273132,67.7302950098699,67.7529107483031,67.7869634361885,67.8281358423759,67.8683376577067,67.8852475473271,813.554229885511,1.00000000003785
uk,sox,NetCDF_input,2022,2024,sec06,F_RoadTransport,7,RoadTransport,Emis_UK_RoadTransport,month,412.689005104407,412.689005104408,412.689005105397,32.0891334975832,33.2058789483702,33.6168850602151,33.3013456434483,34.0353159737292,35.6873114183381,35.6263357183975,35.6184548113056,35.9195637392581,35.8191543824371,34.9094042726023,32.8602216397125,412.689005105397,0.999999999997601
uk,sox,NetCDF_input,2022,2024,sec07,G_Shipping,8,Shipping,Emis_UK_Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,sox,NetCDF_input,2022,2024,sec08,H_Aviation,8,Aviation,Emis_UK_Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,sox,NetCDF_input,2022,2024,sec09,I_Offroad,8,Offroad,Emis_UK_Offroad,month,4870.36288038155,4870.3628803815,4870.36287944003,336.004184544256,379.107671010361,411.131024224332,447.547454426969,485.50721517404,503.473944612138,475.156159768926,440.925555161096,406.231222498327,361.338902022418,316.120968550548,307.818577446622,4870.36287944003,1.00000000019331
uk,sox,NetCDF_input,2022,2024,sec10,J_Waste,9,Waste,Emis_UK_Waste,month,773.330467232201,773.330467232197,773.330467097706,64.4443767800834,64.4443398433003,64.4442784356547,64.4442026694023,64.4441300452407,64.4440658819438,64.4440349651521,64.4440517603181,64.4441184297093,64.4442095802068,64.4442981767866,64.444360529908,773.330467097706,1.00000000017392
