Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,t,emis_t_ncfile
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,28.8592320948374
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,26.9189287680201
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,27.9858351452276
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,27.7097956123762
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,26.4362199907191
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,25.6688622236252
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,25.2929640260991
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,28.4737588602584
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,28.969977416331
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,27.5955513494555
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,32.6110393609852
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,32.7084333300591
uk,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,339.230598177994
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,0
ie,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,1,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,2,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,4,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,6,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,7,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,8,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,9,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,10,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,month,12,0
sea,nh3,NetCDF_output,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1,0
uk,nh3,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,1,194.858654617138
uk,nh3,NetCDF_output,2022,2024,sec02,B_Industry,3,Industry,month,2,200.512407669684
