Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,tsum,tot_tres_ratio
uk,terrestrial,pm25,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,3228.78394038143,3228.78394038143,3228.78394038143,1
uk,sea,pm25,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,3.76151868120051,3.76151868120051,3.76151868120051,1
uk,outwith,pm25,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,791.311984359495,791.311984359495,791.311984359495,1
ie,terrestrial,pm25,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,438.40054091136,438.40054091136,438.40054091136,1
ie,sea,pm25,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ie,outwith,pm25,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
uk,terrestrial,pm25,masked,2015,2024,sec02,B_Industry,3,Industry,annual,17174.4287331485,17174.4287331485,17174.4287331485,1
uk,sea,pm25,masked,2015,2024,sec02,B_Industry,3,Industry,annual,1.65071876322468,1.65071876322468,1.65071876322468,1
uk,outwith,pm25,masked,2015,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
ie,terrestrial,pm25,masked,2015,2024,sec02,B_Industry,3,Industry,annual,2215.16118029357,2215.16118029357,2215.16118029357,1
ie,sea,pm25,masked,2015,2024,sec02,B_Industry,3,Industry,annual,0.0197144904545722,0.0197144904545722,0.0197144904545722,1
ie,outwith,pm25,masked,2015,2024,sec02,B_Industry,3,Industry,annual,0.00024640188125475,0.00024640188125475,0.00024640188125475,1
uk,terrestrial,pm25,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,19001.4001719229,19001.4001719229,19001.4001719229,1
uk,sea,pm25,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.0327633101831795,0.0327633101831795,0.0327633101831795,1
uk,outwith,pm25,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
ie,terrestrial,pm25,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,8003.68563766785,8003.68563766785,8003.68563766785,1
ie,sea,pm25,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.162917321810658,0.162917321810658,0.162917321810658,1
ie,outwith,pm25,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,terrestrial,pm25,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,57.5258250380397,57.5258250380397,57.5258250380397,1
uk,sea,pm25,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,outwith,pm25,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,terrestrial,pm25,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,13.3002888970987,13.3002888970987,13.3002888970987,1
ie,sea,pm25,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,outwith,pm25,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,terrestrial,pm25,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,1949.94458876006,1949.94458876006,1949.94458876006,1
uk,sea,pm25,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,0.00118632791378552,0.00118632791378552,0.00118632791378552,1
uk,outwith,pm25,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
ie,terrestrial,pm25,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,138.1395795352,138.1395795352,138.1395795352,1
ie,sea,pm25,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
ie,outwith,pm25,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
