Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,tsum,tot_tres_ratio
ie,terrestrial,sox,masked,2015,2024,sec08,H_Aviation,8,Aviation,annual,76.5962525077103,76.5962525077103,76.5962525077103,1
ie,sea,sox,masked,2015,2024,sec08,H_Aviation,8,Aviation,annual,0.000372167281718213,0.000372167281718213,0.000372167281718213,1
ie,outwith,sox,masked,2015,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
uk,terrestrial,sox,masked,2015,2024,sec09,I_Offroad,8,Offroad,annual,12971.1950345291,12971.1950345291,12971.1950345291,1
uk,sea,sox,masked,2015,2024,sec09,I_Offroad,8,Offroad,annual,10700.9732197135,10700.9732197135,10700.9732197135,1
uk,outwith,sox,masked,2015,2024,sec09,I_Offroad,8,Offroad,annual,49019.1347681884,49019.1347681884,49019.1347681884,1
ie,terrestrial,sox,masked,2015,2024,sec09,I_Offroad,8,Offroad,annual,47.9923450865624,47.9923450865624,47.9923450865624,1
ie,sea,sox,masked,2015,2024,sec09,I_Offroad,8,Offroad,annual,0.377431276170923,0.377431276170923,0.377431276170923,1
ie,outwith,sox,masked,2015,2024,sec09,I_Offroad,8,Offroad,annual,1.59343182045561,1.59343182045561,1.59343182045561,1
uk,terrestrial,sox,masked,2015,2024,sec10,J_Waste,9,Waste,annual,1098.93309339102,1098.93309339102,1098.93309339102,1
uk,sea,sox,masked,2015,2024,sec10,J_Waste,9,Waste,annual,0.0470721035915822,0.0470721035915822,0.0470721035915822,1
uk,outwith,sox,masked,2015,2024,sec10,J_Waste,9,Waste,annual,0,0,0,
ie,terrestrial,sox,masked,2015,2024,sec10,J_Waste,9,Waste,annual,1.188029,1.188029,1.188029,1
ie,sea,sox,masked,2015,2024,sec10,J_Waste,9,Waste,annual,0,0,0,
ie,outwith,sox,masked,2015,2024,sec10,J_Waste,9,Waste,annual,0,0,0,
uk,terrestrial,sox,masked,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
uk,sea,sox,masked,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
uk,outwith,sox,masked,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
ie,terrestrial,sox,masked,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
ie,sea,sox,masked,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
ie,outwith,sox,masked,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
uk,terrestrial,sox,masked,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
uk,sea,sox,masked,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
uk,outwith,sox,masked,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
ie,terrestrial,sox,masked,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
ie,sea,sox,masked,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
ie,outwith,sox,masked,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
uk,terrestrial,sox,masked,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
uk,sea,sox,masked,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
uk,outwith,sox,masked,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
ie,terrestrial,sox,masked,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
ie,sea,sox,masked,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
ie,outwith,sox,masked,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
