Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,nh3,inventory,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,,161.09,161.09,301.418609838314,301.418609838314
ie,all,nh3,inventory,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,,,,0,0
uk,all,nh3,inventory,2015,2024,sec02,B_Industry,3,Industry,annual,80.3635297492882,2944.48940763864,3024.85293738792,2982.58479817374,2982.58479817366
ie,all,nh3,inventory,2015,2024,sec02,B_Industry,3,Industry,annual,132.329824419772,,132.329824419772,123.614218933879,123.614218933879
uk,all,nh3,inventory,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,614.300203425393,0.798412825097089,615.098616250491,449.744869259767,449.744869259777
ie,all,nh3,inventory,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,78.7056407286231,,78.7056407286231,118.366857895181,118.366857895182
uk,all,nh3,inventory,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,,,,0,0
ie,all,nh3,inventory,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,,,,0,0
uk,all,nh3,inventory,2015,2024,sec05,E_Solvents,6,Solvents,annual,1336.58933326283,,1336.58933326283,1366.2994643587,1366.2994643587
ie,all,nh3,inventory,2015,2024,sec05,E_Solvents,6,Solvents,annual,14.7804249483049,,14.7804249483049,17.320829104,17.3208291040004
uk,all,nh3,inventory,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,4585.23889586327,,4585.23889586327,6175.73318574792,6175.73318574808
ie,all,nh3,inventory,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,552.755764583273,,552.755764583273,872.645954638716,872.645954638721
uk,all,nh3,inventory,2015,2024,sec07,G_Shipping,8,Shipping,annual,,,,0,0
ie,all,nh3,inventory,2015,2024,sec07,G_Shipping,8,Shipping,annual,,,,0,0
uk,all,nh3,inventory,2015,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
ie,all,nh3,inventory,2015,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
uk,all,nh3,inventory,2015,2024,sec09,I_Offroad,8,Offroad,annual,78.6352513099634,,78.6352513099634,86.8689919187887,86.8689919187897
ie,all,nh3,inventory,2015,2024,sec09,I_Offroad,8,Offroad,annual,1.48848268609901,,1.48848268609901,1.29033925091493,1.29033925091491
uk,all,nh3,inventory,2015,2024,sec10,J_Waste,9,Waste,annual,6163.84203754938,,6163.84203754938,7525.74624260217,7525.7462426023
ie,all,nh3,inventory,2015,2024,sec10,J_Waste,9,Waste,annual,37.8007934235529,,37.8007934235529,65.7344272,65.7344272000022
uk,all,nh3,inventory,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,231119.43468951,0.1,231119.534689509,236963.471821591,236963.471821587
ie,all,nh3,inventory,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,59333.2788829757,,59333.2788829757,55924.6549918981,55924.6549918983
uk,all,nh3,inventory,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
ie,all,nh3,inventory,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,65176.4421701571,,65176.4421701571,67494.5297325608,67494.5297325614
uk,all,nh3,inventory,2015,2024,sec13,M_Other,11,Other,annual,21710.5093425846,,21710.5093425846,21753.911950645,21753.9119506453
ie,all,nh3,inventory,2015,2024,sec13,M_Other,11,Other,annual,,,,0,0
