Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,tsum,tot_tres_ratio
uk,terrestrial,voc,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,3995.96570365282,3995.96570365282,3995.96570365282,1
uk,sea,voc,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,0.0136105094488585,0.0136105094488585,0.0136105094488585,1
uk,outwith,voc,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ie,terrestrial,voc,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,285.909299132367,285.909299132367,285.909299132367,1
ie,sea,voc,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ie,outwith,voc,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
uk,terrestrial,voc,masked,2020,2024,sec02,B_Industry,3,Industry,annual,153350.084714823,153350.084714823,153350.084714823,1
uk,sea,voc,masked,2020,2024,sec02,B_Industry,3,Industry,annual,341.781179086524,341.781179086524,341.781179086524,1
uk,outwith,voc,masked,2020,2024,sec02,B_Industry,3,Industry,annual,789.032023142239,789.032023142239,789.032023142239,1
ie,terrestrial,voc,masked,2020,2024,sec02,B_Industry,3,Industry,annual,29976.3664303571,29976.3664303571,29976.3664303571,1
ie,sea,voc,masked,2020,2024,sec02,B_Industry,3,Industry,annual,0.156100145673667,0.156100145673667,0.156100145673667,1
ie,outwith,voc,masked,2020,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
uk,terrestrial,voc,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,28398.9103829239,28398.9103829239,28398.9103829239,1
uk,sea,voc,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.0581109150512222,0.0581109150512222,0.0581109150512222,1
uk,outwith,voc,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
ie,terrestrial,voc,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,10535.5099815319,10535.5099815319,10535.5099815319,1
ie,sea,voc,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.324642518305187,0.324642518305187,0.324642518305187,1
ie,outwith,voc,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,terrestrial,voc,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,39990.8439933816,39990.8439933816,39990.8439933816,1
uk,sea,voc,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,190.568577353512,190.568577353512,190.568577353512,1
uk,outwith,voc,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,30244.9114560293,30244.9114560293,30244.9114560293,1
ie,terrestrial,voc,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,3572.80759406111,3572.80759406111,3572.80759406111,1
ie,sea,voc,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,outwith,voc,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,terrestrial,voc,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,333319.757972017,333319.757972017,333319.757972017,1
uk,sea,voc,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,2.07863222683176,2.07863222683176,2.07863222683176,1
uk,outwith,voc,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
