Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,tsum,tot_tres_ratio
uk,terrestrial,pmco,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,409.730897275886,409.730897275886,409.730897275886,1
uk,sea,pmco,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,0.297765238943293,0.297765238943293,0.297765238943293,1
uk,outwith,pmco,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,35.4696929927865,35.4696929927865,35.4696929927865,1
ie,terrestrial,pmco,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,99.595501806461,99.595501806461,99.595501806461,1
ie,sea,pmco,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ie,outwith,pmco,masked,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
uk,terrestrial,pmco,masked,2020,2024,sec02,B_Industry,3,Industry,annual,33312.4196093121,33312.4196093121,33312.4196093121,1
uk,sea,pmco,masked,2020,2024,sec02,B_Industry,3,Industry,annual,8.50937124533938,8.50937124533938,8.50937124533938,1
uk,outwith,pmco,masked,2020,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
ie,terrestrial,pmco,masked,2020,2024,sec02,B_Industry,3,Industry,annual,6833.13571621598,6833.13571621598,6833.13571621598,1
ie,sea,pmco,masked,2020,2024,sec02,B_Industry,3,Industry,annual,0.003356362439018,0.003356362439018,0.003356362439018,1
ie,outwith,pmco,masked,2020,2024,sec02,B_Industry,3,Industry,annual,0.00201013930077106,0.00201013930077106,0.00201013930077106,1
uk,terrestrial,pmco,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,603.717464688326,603.717464688326,603.717464688326,1
uk,sea,pmco,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.00144953206234353,0.00144953206234353,0.00144953206234353,1
uk,outwith,pmco,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
ie,terrestrial,pmco,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,45.3565815975975,45.3565815975975,45.3565815975975,1
ie,sea,pmco,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.00364552987271257,0.00364552987271257,0.00364552987271257,1
ie,outwith,pmco,masked,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,terrestrial,pmco,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,68.5696524884641,68.5696524884641,68.5696524884641,1
uk,sea,pmco,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,outwith,pmco,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,terrestrial,pmco,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,12.3037598322756,12.3037598322756,12.3037598322756,1
ie,sea,pmco,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,outwith,pmco,masked,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,terrestrial,pmco,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,687.057727754488,687.057727754488,687.057727754488,1
uk,sea,pmco,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,0.000402324932519706,0.000402324932519706,0.000402324932519706,1
uk,outwith,pmco,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
ie,terrestrial,pmco,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,13.9835477430002,13.9835477430002,13.9835477430002,1
ie,sea,pmco,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
ie,outwith,pmco,masked,2020,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
uk,terrestrial,pmco,masked,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,20016.9224821687,20016.9224821687,20016.9224821687,1
uk,sea,pmco,masked,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0.000345467012304453,0.000345467012304453,0.000345467012304453,1
uk,outwith,pmco,masked,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
ie,terrestrial,pmco,masked,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,752.629242980818,752.629242980818,752.629242980818,1
ie,sea,pmco,masked,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
ie,outwith,pmco,masked,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
uk,terrestrial,pmco,masked,2020,2024,sec07,G_Shipping,8,Shipping,annual,0,0,0,
uk,sea,pmco,masked,2020,2024,sec07,G_Shipping,8,Shipping,annual,0,0,0,
