Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,co,inventory,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,1034.52585832974,80077.7579083803,81112.28376671,68980.8905570097,68980.8905570075
ie,all,co,inventory,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,6101.01103292778,,6101.01103292778,6641.06818885314,6641.06818885314
uk,all,co,inventory,2020,2024,sec02,B_Industry,3,Industry,annual,41578.7474326799,254263.035796888,295841.783229569,294917.587900892,294917.58790089
ie,all,co,inventory,2020,2024,sec02,B_Industry,3,Industry,annual,8889.1732665101,,8889.1732665101,9141.61318197582,9141.61318197576
uk,all,co,inventory,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,248731.579432397,1242.63114014608,249974.210572543,241950.774337443,241950.774337439
ie,all,co,inventory,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,21182.4585234937,,21182.4585234937,85170.3962936762,85170.3962936764
uk,all,co,inventory,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,56.4546034695741,,56.4546034695741,53.3199999999999,53.3199999999999
ie,all,co,inventory,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,,,,0,0
uk,all,co,inventory,2020,2024,sec05,E_Solvents,6,Solvents,annual,1769.75964347338,,1769.75964347338,1879.28950639118,1879.28950639118
ie,all,co,inventory,2020,2024,sec05,E_Solvents,6,Solvents,annual,196.512973799559,,196.512973799559,183.2293135525,183.229313552498
uk,all,co,inventory,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,207842.097289476,,207842.097289476,205290.773904478,205290.773904475
ie,all,co,inventory,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,28065.5556553321,,28065.5556553321,16836.0154731687,16836.0154731687
uk,all,co,inventory,2020,2024,sec07,G_Shipping,8,Shipping,annual,,,,0,0
ie,all,co,inventory,2020,2024,sec07,G_Shipping,8,Shipping,annual,639.345700192911,,639.345700192911,405.737061707523,405.737061707542
uk,all,co,inventory,2020,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
ie,all,co,inventory,2020,2024,sec08,H_Aviation,8,Aviation,annual,1437.77815610332,,1437.77815610332,405.252066768,405.252066768001
uk,all,co,inventory,2020,2024,sec09,I_Offroad,8,Offroad,annual,467402.135201224,,467402.135201224,416783.396179449,416783.396179427
ie,all,co,inventory,2020,2024,sec09,I_Offroad,8,Offroad,annual,1599.01747498554,,1599.01747498554,1556.9975649781,1556.99756497799
uk,all,co,inventory,2020,2024,sec10,J_Waste,9,Waste,annual,20009.6389960723,79.91,20089.5489960723,27681.9302377722,27681.9302377728
ie,all,co,inventory,2020,2024,sec10,J_Waste,9,Waste,annual,89.8401293364996,,89.8401293364996,140.30561762,140.305617619999
uk,all,co,inventory,2020,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,,,,0,0
ie,all,co,inventory,2020,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,,,,0,0
uk,all,co,inventory,2020,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
ie,all,co,inventory,2020,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
uk,all,co,inventory,2020,2024,sec13,M_Other,11,Other,annual,55764.0620110881,,55764.0620110881,54013.550937972,54013.5509379713
ie,all,co,inventory,2020,2024,sec13,M_Other,11,Other,annual,,,,0,0
