EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.670951812792511
AZ,69,Azerbaijan,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,1.50608552742004
RS,72,Serbia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,44.7233852516413
ME,73,Montenegro,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,4.02174509927925
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0757297325134277
CAS,80,Caspian Sea,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.127691695746034
TJ,81,Tajikistan,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,1.23826167867414
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,70.7190522583935
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,23.8459217401855
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,235.115590706754
AL,1,Albania,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0101857936382294
AT,2,Austria,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.20510613298707
BE,3,Belgium,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0891283523344537
BG,4,Bulgaria,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,3.47909143899852
DK,6,Denmark,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0923215866079198
FI,7,Finland,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.495978366969848
FR,8,France,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.703438399446619
GR,11,Greece,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,1.13237815093994
HU,12,Hungary,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.610597444138107
IS,13,Iceland,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,2.36002448946238e-05
IE,14,Ireland,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.187940838305546
LU,16,Luxembourg,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.00861946978994456
NL,17,Netherlands,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.108539251471811
NO,18,Norway,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0707675442231412
PL,19,Poland,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,15.7045861438221
PT,20,Portugal,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0289851686589511
