EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
NOA,63,North Africa,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.64455945355841
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00490620586509476
AZ,69,Azerbaijan,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00420786545039848
RS,72,Serbia,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.13856602203846
ME,73,Montenegro,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.188908923843326
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0623412656784058
CAS,80,Caspian Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00329798815120131
TJ,81,Tajikistan,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.101594274356676
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,1.02986525960977
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.545236514467339
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,3.5161493183835
AL,1,Albania,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000426180480513722
AT,2,Austria,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.020101158124595
BE,3,Belgium,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00377800404672515
BG,4,Bulgaria,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00658535659685731
DK,6,Denmark,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0036623997375686
FI,7,Finland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0465475727409757
FR,8,France,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0276588939476555
GR,11,Greece,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0138774645254016
HU,12,Hungary,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0199664556492876
IS,13,Iceland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,4.54055523732677e-07
IE,14,Ireland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00518505023311744
LU,16,Luxembourg,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000538089694465725
NL,17,Netherlands,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00104922586311386
NO,18,Norway,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00913083704673772
PL,19,Poland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.313472100342924
PT,20,Portugal,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000767958639475552
RO,21,Romania,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0454749085178314
ES,22,Spain,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0408538778582836
SE,23,Sweden,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0244013375120471
CH,24,Switzerland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000398021040276944
TR,25,Turkey,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,2.34236540944033
GB,27,United Kingdom,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0366473180508597
NOS,31,North Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.006013937760565
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0195027563067171
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.857620687339758
BLS,34,Black Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.284991127186513
BY,39,Belarus,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0551831930083448
UA,40,Ukraine,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000430220949501859
MD,41,Republic of Moldova,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000767773068044335
EE,43,Estonia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0149841178579554
LV,44,Latvia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0577737137314798
LT,45,Lithuania,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0108757963802198
CZ,46,Czech Republic,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0436677032084464
SK,47,Slovakia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00372951451488319
SI,48,Slovenia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00363071032316816
HR,49,Croatia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0159189802885294
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00152790600061417
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.122898399233818
GE,54,Georgia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.019825945888542
CY,55,Cyprus,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000642047589058434
LI,59,Liechtenstein,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,4.10494580864906e-06
DE,60,Germany,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0372007889641654
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,1.81361335985032
NOA,63,North Africa,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.582570410366636
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00451199663345938
